,Collection ID,Collection Title,Item Title,Item ID,Subjects,Personal Contributors,Institutional Contributors,Date Created,Description,Language,Identifiers,Series,Resource Types,Extent,Citation,Notes_x,Copyright,Reuse,Visibility,Embargo Date,System Created,System Updated,Attachment Count,System User,Collection Url,ID,Creator,Creator - No LOC,Contributor,Contributor - No LOC,Contributor.1,Contributor - No LOC.1,Title,Notes_y,Keyword 1,Topical Subject,Topical Subject.1,Topical Subject.2,Topical Subject.3,Geographic Subject,Type of scholarship,Unnamed: 17,Unnamed: 18,Topical Subjects,Authors,Contributors-Person
0,5,Mediterranean Landscape Dynamics Project,Computational Modeling for Socioecological Systems Science,18487,,"Barton, C. Michael (Author)",,2008,,eng,,,Text,30 Pages,,"Invited speaker for Modeling Social Behavior, Informational Conference at National Institutes of Health, Washington, DC, November 6-7, 2008.",http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0,Public,,2013-09-09 18:38:28.115086+00:00,2018-06-21 18:47:49.411391+00:00,1,,,18487.0,"Barton, C. Michael|http://id.loc.gov/authorities/names/nr89004048",,,,,,Computational Modeling for Socioecological Systems Science,,,Social ecology|http://id.loc.gov/authorities/subjects/sh92004049,Human ecology|http://id.loc.gov/authorities/subjects/sh85062856,Geographic information systems|http://id.loc.gov/authorities/subjects/sh2003007733,Habitat (Ecology)|http://id.loc.gov/authorities/subjects/sh85058159,Mediterranean Region|http://id.loc.gov/authorities/subjects/sh85083230,Faculty scholarship,,,Social ecology|http://id.loc.gov/authorities/subjects/sh92004049||Human ecology|http://id.loc.gov/authorities/subjects/sh85062856||Geographic information systems|http://id.loc.gov/authorities/subjects/sh2003007733||Habitat (Ecology)|http://id.loc.gov/authorities/subjects/sh85058159,"Barton, C. Michael|http://id.loc.gov/authorities/names/nr89004048",
1,5,Mediterranean Landscape Dynamics Project,Paleoclimate Modeling and the Drivers of Early Neolithic Expansion in Mediterranean Europe,18486,,"Bergin, Sean M. (Author) || Miller, Alexandra (Author)",,2009,,eng,,,Text,16 Pages,,"Paper presented at the 74th Annual Meeting of the Society for American Archaeology, Atlanta, GA.",http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0,Public,,2013-09-09 18:32:31.047887+00:00,2018-06-21 18:47:49.404218+00:00,1,,,18486.0,,"Bergin, Sean M.",,"Miller, Alexandra E.",,,Paleoclimate Modeling and the Drivers of Early Neolithic Expansion in Mediterranean Europe,,,Paleoclimatology|http://id.loc.gov/authorities/subjects/sh85097057,,,,,Faculty scholarship,,,Paleoclimatology|http://id.loc.gov/authorities/subjects/sh85097057,"Bergin, Sean M.","Miller, Alexandra E."
2,5,Mediterranean Landscape Dynamics Project,Simulating the long-term effects of agropastoral landuse decisions: a computational modeling approach to the Prepottery/Pottery Neolithic transition in northern Jordan,18484,,"Ullah, Isaac I. T. (Author) || Arikan, Bulent (Author) || Barton, C. Michael (Author) || Mayer, G. R. (Author) || Sarjoughian, H. S. (Author)",,2012,,eng,,,Text,40 Pages,,"Paper presented in the symposium “Socio-natural systems in pastoral and agro-pastoral societies: Archaeological investigations of pastoral landscapes” at the 77th annual meeting of the Society for American Archaeology, Memphis, TN.",http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0,Public,,2013-09-09 18:12:44.616695+00:00,2018-06-21 18:47:49.385784+00:00,1,,,18484.0,"Ullah, Isaac I. T., 1979-|http://id.loc.gov/authorities/names/no2017127531",,,"Arikan, Bulent","Barton, C. Michael|http://id.loc.gov/authorities/names/nr89004048",,Simulating the long-term effects of agropastoral landuse decisions: a computational modeling approach to the Prepottery/Pottery Neolithic transition in northern Jordan,,,"Pottery, Prehistoric|http://id.loc.gov/authorities/subjects/sh85105852",,,,,Faculty scholarship,,,"Pottery, Prehistoric|http://id.loc.gov/authorities/subjects/sh85105852","Ullah, Isaac I. T., 1979-|http://id.loc.gov/authorities/names/no2017127531","Arikan, Bulent||Barton, C. Michael|http://id.loc.gov/authorities/names/nr89004048"
3,5,Mediterranean Landscape Dynamics Project,Integrating Spatial and Temporal Dynamics in Ecological Modeling: Issues and Directions,15656,,"Barton, C. Michael (Author)",,2005,,eng,,,Text,33 Pages,,"Invited presentation for “Eco-cultural Niche Modeling: an OMLL - NSF Symposium”, Les Eyzies, France, 22-26 September, 2005.",http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0,Public,,2012-12-17 21:21:16.747685+00:00,2018-06-21 18:47:49.374884+00:00,1,,,15656.0,"Barton, C. Michael|http://id.loc.gov/authorities/names/nr89004048",,,,,,Integrating Spatial and Temporal Dynamics in Ecological Modeling: Issues and Directions,,,Paleoecology|http://id.loc.gov/authorities/subjects/sh85097060,,,,,Faculty scholarship,,,Paleoecology|http://id.loc.gov/authorities/subjects/sh85097060,"Barton, C. Michael|http://id.loc.gov/authorities/names/nr89004048",
4,5,Mediterranean Landscape Dynamics Project,Modeling of Agropastoral Human Activities Using Agent-Based Simulation,15655,,"Allen, E. K. (Author) || Falconer, Steven (Author) || Sarjoughian, H. S. (Author) || Barton, C. Michael (Author) || Fall, Patricia (Author)",,2006,,eng,,,Text,1 Page,,"Poster presented at the 71st Annual Meeting of the Society for American Archaeology, San Juan.",http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0,Public,,2012-12-17 21:17:56.992480+00:00,2018-06-21 18:47:49.363544+00:00,1,,,15655.0,,"Allen, Eowyn K.","Falconer, Steven E.|http://id.loc.gov/authorities/names/n93058312",,"Sarjoughian, Hessam S.|http://id.loc.gov/authorities/names/n00016726",,Modeling of Agropastoral Human Activities Using Agent-Based Simulation,,,"Pastoral systems, Prehistoric|http://id.loc.gov/authorities/subjects/sh93004607",Agricultural systems|http://id.loc.gov/authorities/subjects/sh85002407,,,,Faculty scholarship,,,"Pastoral systems, Prehistoric|http://id.loc.gov/authorities/subjects/sh93004607||Agricultural systems|http://id.loc.gov/authorities/subjects/sh85002407","Allen, Eowyn K.","Falconer, Steven E.|http://id.loc.gov/authorities/names/n93058312||Sarjoughian, Hessam S.|http://id.loc.gov/authorities/names/n00016726"
5,5,Mediterranean Landscape Dynamics Project,Simulating Human Agropastoral Activities Using Hybrid Agent-Landscape Modeling: A Multidisciplinary Approach,15652,,"Sarjoughian, H. S. (Author) || Mayer, G. R. (Author) || Allen, E. K. (Author)",,2006,,eng,,,Text,1 Page,,"Poster presented at the SCI Research Symposium, September 2006, ASU.",http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0,Public,,2012-12-17 18:52:24.451796+00:00,2018-06-21 18:47:49.353709+00:00,1,,,15652.0,"Sarjoughian, Hessam S.|http://id.loc.gov/authorities/names/n00016726",,,"Mayer, Gary R.",,"Allen, Eowyn K.",Simulating Human Agropastoral Activities Using Hybrid Agent-Landscape Modeling: A Multidisciplinary Approach,,,"Pastoral systems, Prehistoric|http://id.loc.gov/authorities/subjects/sh93004607",Agricultural systems|http://id.loc.gov/authorities/subjects/sh85002407,,,,Faculty scholarship,,,"Pastoral systems, Prehistoric|http://id.loc.gov/authorities/subjects/sh93004607||Agricultural systems|http://id.loc.gov/authorities/subjects/sh85002407","Sarjoughian, Hessam S.|http://id.loc.gov/authorities/names/n00016726","Mayer, Gary R.||Allen, Eowyn K."
6,5,Mediterranean Landscape Dynamics Project,Domain-Specific Agent Modeling with SESM,15649,,"Gundlach, K. (Author) || Sarjoughian, H. S. (Author)",,2007,,eng,,,Text,1 Page,,"Poster presented to Community of Undergraduate Research Scholars, ASU, April 2007 and the Fulton Undergraduate Student Research Symposium (ASU).",http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0,Public,,2012-12-17 18:41:58.023160+00:00,2018-06-21 18:47:49.344772+00:00,1,,,15649.0,,"Gundlach, Kevin","Sarjoughian, Hessam S.|http://id.loc.gov/authorities/names/n00016726",,,,Domain-Specific Agent Modeling with SESM,,,Habitat (Ecology)|http://id.loc.gov/authorities/subjects/sh85058159,Human ecology|http://id.loc.gov/authorities/subjects/sh85062856,Human settlements|http://id.loc.gov/authorities/subjects/sh85062894,,,Faculty scholarship,,,Habitat (Ecology)|http://id.loc.gov/authorities/subjects/sh85058159||Human ecology|http://id.loc.gov/authorities/subjects/sh85062856||Human settlements|http://id.loc.gov/authorities/subjects/sh85062894,"Gundlach, Kevin","Sarjoughian, Hessam S.|http://id.loc.gov/authorities/names/n00016726"
7,5,Mediterranean Landscape Dynamics Project,Complexities of Simulating a Hybrid Agent-Landscape Model using Multi-Formalism Composability,15648,,"Mayer, G. R. (Author) || Sarjoughian, H. S. (Author)",,2007,,eng,,,Text,8 Pages,,"Spring Simulation Multi-Conference (SpringSim 2007). Norfolk, VA. 25–29 March 2007 (in press).",http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0,Public,,2012-12-17 18:37:35.214923+00:00,2018-06-21 18:47:49.335051+00:00,1,,,15648.0,,"Mayer, Gary R.","Sarjoughian, Hessam S.|http://id.loc.gov/authorities/names/n00016726",,,,Complexities of Simulating a Hybrid Agent-Landscape Model using Multi-Formalism Composability,,,Land use|http://id.loc.gov/authorities/subjects/sh85074345,Human ecology|http://id.loc.gov/authorities/subjects/sh85062856,Neolithic period|http://id.loc.gov/authorities/subjects/sh85090768,Habitat (Ecology)|http://id.loc.gov/authorities/subjects/sh85058159,Mediterranean Region|http://id.loc.gov/authorities/subjects/sh85083230,Faculty scholarship,,,Land use|http://id.loc.gov/authorities/subjects/sh85074345||Human ecology|http://id.loc.gov/authorities/subjects/sh85062856||Neolithic period|http://id.loc.gov/authorities/subjects/sh85090768||Habitat (Ecology)|http://id.loc.gov/authorities/subjects/sh85058159,"Mayer, Gary R.","Sarjoughian, Hessam S.|http://id.loc.gov/authorities/names/n00016726"
8,5,Mediterranean Landscape Dynamics Project,Land Cover Change in the Southern Levant: 1973 to 2007,15647,,"Soto-Berelov, Mariela (Author) || Fall, Patricia (Author) || Barton, C. Michael (Author) || Falconer, Steven (Author) || Sarjoughian, H. S. (Author) || Arrowsmith, J. Ramon (Author)",,2007,,eng,,,Text,11 Pages,,"Paper presented at the ASPRS Southwest Technical Conference, Arizona State University, March 7 2007.",http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0,Public,,2012-12-17 18:33:15.874727+00:00,2018-06-21 18:47:49.326945+00:00,1,,,15647.0,,"Soto-Berelov, Mariela","Fall, Patricia L.|http://id.loc.gov/authorities/names/n88606746",,"Barton, C. Michael|http://id.loc.gov/authorities/names/nr89004048",,Land Cover Change in the Southern Levant: 1973 to 2007,,,Landscape changes|http://id.loc.gov/authorities/subjects/sh85074408,Human ecology|http://id.loc.gov/authorities/subjects/sh85062856,,,Mediterranean Region|http://id.loc.gov/authorities/subjects/sh85083230,Faculty scholarship,,,Landscape changes|http://id.loc.gov/authorities/subjects/sh85074408||Human ecology|http://id.loc.gov/authorities/subjects/sh85062856,"Soto-Berelov, Mariela","Fall, Patricia L.|http://id.loc.gov/authorities/names/n88606746||Barton, C. Michael|http://id.loc.gov/authorities/names/nr89004048"
9,5,Mediterranean Landscape Dynamics Project,Climate Change and Socioecological Dynamics in Eastern Spain,15646,,"Miller, Alexandra (Author) || Barton, C. Michael (Author) || Schmich, Steven (Author) || McClure, Sarah (Author)",,2008,,eng,,,Text,13 Pages,,"Invited symposium paper presented at the 73rd Annual Meeting of the Society for American Archaeology, Vancouver, BC.",http://rightsstatements.org/vocab/InC/1.0/,http://creativecommons.org/licenses/by-nc-nd/4.0,Public,,2012-12-17 18:19:45.850389+00:00,2018-06-21 18:47:49.318083+00:00,1,,,15646.0,,"Miller, Alexandra E.","Barton, C. Michael|http://id.loc.gov/authorities/names/nr89004048",,,"Schmich, Steven",Climate Change and Socioecological Dynamics in Eastern Spain,,,Climatic changes|http://id.loc.gov/authorities/subjects/sh85027037,Paleoclimatology|http://id.loc.gov/authorities/subjects/sh85097057,,,Mediterranean Region|http://id.loc.gov/authorities/subjects/sh85083230,Faculty scholarship,,,Climatic changes|http://id.loc.gov/authorities/subjects/sh85027037||Paleoclimatology|http://id.loc.gov/authorities/subjects/sh85097057,"Miller, Alexandra E.","Barton, C. Michael|http://id.loc.gov/authorities/names/nr89004048||Schmich, Steven"
