item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file checksum
8321,Alternative Futures of the Past || Modeling Neolithic landuse and its consequences in the ancient Mediterranean,54923,Alternative Futures of the Past,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",28045,364,2011-06-07 21:11:58.094462+00:00,filestore/46/c1/bc/46c1bcc0510b8b23f90068dac9b4b0e8,46c1bcc0510b8b23f90068dac9b4b0e8,application/pdf,Alternative Futures of the Past.pdf,4578287,/attachments/54923/content/Alternative%20Futures%20of%20the%20Past.pdf,46c1bcc0510b8b23f90068dac9b4b0e8
8323,Modeling Impacts of Landuse Practices on Mediterranean Landscapes,54925,Modeling impacts of landuse practices on Mediterranean landscapes,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",28048,793,2011-06-07 21:21:11.596886+00:00,filestore/81/76/36/817636cf6a04ac5307c9e79d649d9655,817636cf6a04ac5307c9e79d649d9655,application/pdf,Modeling impacts of landuse practices on Mediterranean landscapes.pdf,10451826,/attachments/54925/content/Modeling%20impacts%20of%20landuse%20practices%20on%20Mediterranean%20landscapes.pdf,817636cf6a04ac5307c9e79d649d9655
8324,"Archaeoclimatology and Ancient Mediterranean Landscape Dynamics || Climate, People and Behavior,   A Symposium in Honor of Reid Bryson",54926,Archaeoclimatology and Ancient Mediterranean Landscape Dynamics,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",28049,671,2011-06-07 21:28:48.587204+00:00,filestore/6d/f0/46/6df046c8eaeea5c5a25156753b33173d,6df046c8eaeea5c5a25156753b33173d,application/pdf,Archaeoclimatology and Ancient Mediterranean Landscape Dynamics.pdf,1330807,/attachments/54926/content/Archaeoclimatology%20and%20Ancient%20Mediterranean%20Landscape%20Dynamics.pdf,6df046c8eaeea5c5a25156753b33173d
8326,Modeling Long-term Socioecology: the Mediterranean Landscape Dynamics Project,54929,Modeling Long-term Socioecology: the Mediterranean Landscape Dynamics Project,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",28052,504,2011-06-07 21:54:55.603934+00:00,filestore/fb/de/11/fbde11282af8b1e565ea8d3b84f404ea,fbde11282af8b1e565ea8d3b84f404ea,application/pdf,Modeling Long-term Socioecology the Mediterranean Landscape Dynamics Project.pdf,9219193,/attachments/54929/content/Modeling%20Long-term%20Socioecology%20the%20Mediterranean%20Landscape%20Dynamics%20Project.pdf,fbde11282af8b1e565ea8d3b84f404ea
8327,An Agent/Landscape Modeling Framework for Simulation of Human Landuse,54930,An Agent/Landscape Modeling Framework for Simulation of Human Landuse,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",28053,729,2011-06-07 22:00:29.403713+00:00,filestore/33/06/df/3306dfe1efd03355e62e5a21e4185657,3306dfe1efd03355e62e5a21e4185657,application/pdf,An Agent Landscape Modeling Framework for Simulation of Human Landuse.pdf,385894,/attachments/54930/content/An%20Agent%20Landscape%20Modeling%20Framework%20for%20Simulation%20of%20Human%20Landuse.pdf,3306dfe1efd03355e62e5a21e4185657
8328,Composing Agent and Landscape Models: An Example from the Mediterranean,54931,Composing Agent and Landscape Models: An Example from the Mediterranean,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",28054,733,2011-06-07 22:03:43.286452+00:00,filestore/36/86/30/36863091116596cbb75b8e76b8653bbb,36863091116596cbb75b8e76b8653bbb,application/pdf,Composing Agent and Landscape Models An Example from the Mediterranean.pdf,8109379,/attachments/54931/content/Composing%20Agent%20and%20Landscape%20Models%20An%20Example%20from%20the%20Mediterranean.pdf,36863091116596cbb75b8e76b8653bbb
8329,Simulation Modeling for Human Community and Agricultural Landuse || Proceedings of the Agent-Directed Simulation Conference,54932,Simulation Modeling for Human Community and Agricultural Landuse,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",28055,1283,2011-06-07 22:10:42.796997+00:00,filestore/61/ef/74/61ef747926dbceae7b61cc040554a109,61ef747926dbceae7b61cc040554a109,application/pdf,Simulation Modeling for Human Community and Agricultural Landuse.pdf,151334,/attachments/54932/content/Simulation%20Modeling%20for%20Human%20Community%20and%20Agricultural%20Landuse.pdf,61ef747926dbceae7b61cc040554a109
8330,Tell Identification in the Northern Jordan Valley || comparing methods using multiple remotely-sensed data sets,54933,Tell identification in the northern Jordan Valley ,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",28056,403,2011-06-07 22:15:37.095824+00:00,filestore/b6/9f/db/b69fdb29c4dcca4d60d79965f9fe8e15,b69fdb29c4dcca4d60d79965f9fe8e15,application/pdf,Tell identification in the northern Jordan Valley.pdf,4661278,/attachments/54933/content/Tell%20identification%20in%20the%20northern%20Jordan%20Valley.pdf,b69fdb29c4dcca4d60d79965f9fe8e15
8331,Data Management and Access,54934,Data Management and Access,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",28057,1237,2011-06-07 22:30:46.985254+00:00,filestore/8b/b1/96/8bb196921a5586acf7194cb8a8ae6cf0,8bb196921a5586acf7194cb8a8ae6cf0,application/pdf,Data Management and Access.pdf,4058748,/attachments/54934/content/Data%20Management%20and%20Access.pdf,8bb196921a5586acf7194cb8a8ae6cf0
8332,"Modeling Long-Term Landscape Dynamics and the Emergence of Intensification || Society for American Archaeology, 71st Annual Meeting",54935,Modeling Long-Term Landscape Dynamics and the Emergence of Intensification,,,,,,,,,,,,,1,1,"{'notes': [], 'description': [], 'type': [], 'series': [], 'language': [], 'subject': [], 'title': [], 'citation': [], 'contributor': [], 'extent': [], 'identifier': []}",28058,1352,2011-06-07 22:37:42.470285+00:00,filestore/c4/4d/55/c44d5532d4c69d59ba537b076a601cd0,c44d5532d4c69d59ba537b076a601cd0,application/pdf,Modeling Long-Term Landscape Dynamics and the Emergence of Intensification.pdf,2051091,/attachments/54935/content/Modeling%20Long-Term%20Landscape%20Dynamics%20and%20the%20Emergence%20of%20Intensification.pdf,c44d5532d4c69d59ba537b076a601cd0
