Collection Url,ID,Creator,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Title,,Repository Ingestion Notes,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10,Keyword 11,Keyword 12,Keyword 13,Keyword 14,Keyword 15,Keyword 16,Keyword 17,Keyword 18,Keyword 19,Title as Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Genre/Form Heading,Genre/Form Heading,Genre/Form Heading,Geographic Subject,Geographic Subject,Geographic Subject,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Type of scholarship,Advisor and Committee members for EDTs only,,,,,,,,,,,,,,,,,
,26652,,"Allgood, Tammy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Are You in the Game? Harnessing Millennial Learning Strategies to Market Your Library,,,games and libraries,,,,,,,,,,,,,,,,,,,,Educational games,Library orientation for college stuents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26651,,"Allgood, Tammy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game On! Developing a game for library instruction,,,games in libraries,library instruction,,,,,,,,,,,,,,,,,,,Educational games,Library orientation for college stuents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26607,,"Allgood, Tammy","Johnson, Melissa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get Agile: Kill the Website Redesign Project,,,library web sites,redesigns,,,,,,,,,,,,,,,,,,,Agile software development,Library Web sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,28443,,"Kammerlocher, Lisa","Couture, Julianne","Sparks, Olivia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Literacy in Learning Landscapes: Flexible, Adaptable, Low-cost Solutions",,,,,,,,,,,,,,,,,,,,,,,Information literacy,Web based instruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,9500,,"Allgood, Tammy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Library One Search: Implementing Web-Scale Discovery in an Academic Research Library,,,Summon,Web scale discovery,Lita,ALA,,,,,,,,,,,,,,,,,Library Web sites,Library catalogs,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,35834,,"Allgood, Tammy","Kush, Jordyn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Library One Search Usability at ASU,,,Usability,Discovery,,,,,,,,,,,,,,,,,,,Web based user interfaces,Library Web sites,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26608,,"Allgood, Tammy","Harp, Matthew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Podcasting 101,,,podcasting,,,,,,,,,,,,,,,,,,,,Podcasting,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26673,,"Allgood, Tammy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Podcasting the Librarian Way,,,podcasting,academic libraries,,,,,,,,,,,,,,,,,,,Podcasting,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26674,,"Allgood, Tammy","Gallegos, Bee","Grondin, Karen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarantined: The Fletcher Library Game Project.,,,,,,,,,,,,,,,,,,,,,,,Educational games,Computer software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26628,,"Allgood, Tammy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shh! This is a (Drupal-powered) Library Site!,,Typos in summary: Leveraging Drupal for your businessLeveraging Drupal for your business,,,,,,,,,,,,,,,,,,,,,Web site development,Library Web sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26625,,"Allgood, Tammy","Johnson, Melissa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Death of the Library Website Redesign,,"Extra new line summary: working software over /n.
comprehensive ",library website redesign,agile development,,,,,,,,,,,,,,,,,,,Agile software development,Library Web sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,26622,,"Allgood, Tammy","Johnson, Carolyn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thinking Outside the Box Office: A Learning Object for Curriculum Resources or Blockbuster Meets Academia,,"Extra new line summary: This presentation describes a learning object for the management of curriculum \n.
resources, ",,,,,,,,,,,,,,,,,,,,,Web databases,Educational technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
