Collection Url,ID,Creator,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Title,Cataloging Notes,Repository Ingestion Notes,Title as Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Genre/Form Heading,Genre/Form Heading,Genre/Form Heading,Geographic Subject,Geographic Subject,Geographic Subject,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Type of scholarship,Advisor and Committee members for EDTs only,,,,,,,,,,,,,,,,,
,29179,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Accounting for Keating: Privacy, Corruption and Disclosure in the American Continental Corporations Record Collection",,,,Digital images,Source separation (Signal processing,Archives,Academic libraries,,,,,,,,,,,,,,Arizona State University,Lincoln Savings & Loan Association,American Continental Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,25327,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An Evaluation of Crowdsourcing and Participatory Archives Projects for Archival Description and Transcription,,No subjects assigned by author (unpublished paper),,Data encryption (Computer science),Web 2.0,Web users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,55075,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASU in the Postwar Period: Victory Village,,,,"World War, 1939-1945",Veterans,Trailer camps,Student housing,,,,,,,,,,Tempe (Ariz.),,,,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14183,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing a Digital Materials Business Strategy,,,,Digital preservation,Electronic records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14104,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Digital Here Now, Maybe Forever: Collecting and Collaborations",,"No subjects assigned by author (unpublished presentation)
",,Digital preservation,Data curation,Participatory monitoring and evaluation (Project management),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14187,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electronic Publishing, ETD’s and Institutional Repositories",,,,Electronic publishing,Web archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14106,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E-Records Workshop, University of California",,No subjects assigned by author (unpublished presentation),,Digital preservation,Digital libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14103,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final Report of the ad hoc Task Force on Electronic Theses and Dissertations, Arizona State University",,,,Electronic dissertations,,,,,,,,,,,,,,,,,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14107,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final Report of the Task Force on Electronic Publications, Society of American Archivists",,No subjects assigned by author,,Electronic dissertations,"Dissertations, Academic",,,,,,,,,,,,Maricopa County (Ariz.),,,,,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14186,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guardian of the Flame Sri Lanka Manuscripts Collection,,,,Palm-leaf manuscripts,Archival resources,,,,,,,,,,,,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,16491,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Search of Strategic Direction: Digital Preservation in the Academy,,,,Digital preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14188,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Institutional Repositories and the Market of Ideas,,,,Digital libraries,Scholarly electronic publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,46630,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese-American Internment Camp Collection,,,,Japanese Americans,Concentration camps,"World War, 1939-1945",,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,43601,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln Ragsdale's Emancipation Proclamation Radio Shows,,,,African Americans,Civil rights,,,,,,,,,,,,Phoenix (Ariz.),,,,,,,,,,,,,,,,,,"Ragsdale, Lincoln Johnson, 1926-1995","Ragsdale, Eleanor Odell Dickey, 1926-1998",,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14182,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal education: Arizona State University in 1912,,,,,,,,,,,,,,,,,,,,,Tempe Normal School of Arizona,Arizona State University,Arizona State University. University Archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,46629,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix Annexation Workshop,,,,Annexation (Municipal government),,,,,,,,,,,,,Phoenix Metropolitan Area (Ariz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,18618,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Review of David Foster's Glimpses of Phoenix: The Desert Metropolis in Written and Visual Media,,,,"
Book reviews",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foster, David William",,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,18225,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ROTC Building Occupation at ASU, April23-25, 1969",,,,"Vietnam War, 1961-1975",Protest movements,College students,,,,,,,,,,,Tempe (Ariz.),,,,Arizona State University. University Archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,19994,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selling Sunshine: ASU Solar Energy Research: 1951-1980,,,,Solar energy,,,,,,,,,,,,,,,,,Arizona State University. University Archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14184,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why Arizona? An Arizona Centennial Public Engagement Project,,,,Web sites,Computer network resources,,,,,,,,,,,,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,14105,,"Spindler, Robert P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Working Together Revisited: Diverse Skills for Sustainability,,,,Digital preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
