Title,Description,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Personal Contributor,Personal Contributor Role,Corporate Contributor,Corporate Contributor Role,Event Contributor,Table of Contents,Topical Subject,Topical Subject,Genre,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Title Subject,Temporal Subject,Language,Extent,Preferred Citation,Copyright Statement,Reuse Permissions,Handle,Legacy System ID,ID,System Creator,Peer-reviewed,Open Access,Series,Date Created,Copyright Date,Date Digitized,Edition,Issuance,Frequency,Collaborating Institution,Statement of Responsibility,Model,Parent Collection,Parent Item,Visibility,Additional Memberships,Place of Publication Text,Place of Publication Code,Coordinates,Related Item,Note,Identifier,Cataloging Standards,Complex Object Child,File Location,Derivative File Permissions,Original File Permissions,Description Source,Embargo Release Date,Level of Coding,File Location
General Yamashita Surrender Ceremony,"Howard Pyle's radio broadcast of the surrender ceremony at Baguio City, Philippines. Known as the ""Tiger of Malaya,"" Yamashita surrendered in the presence of Generals Jonathan Wainwright and Arthur Percival, who were previously imprisoned by the Japanese in Manchuria. Pyle said he was the only news correspondent to cover the Japanese surrender on board the USS Missouri and Yamashita's surrender at Baguio City.","Yamashita, Tomobumi, 1885-1946",Associated name,"Pyle, Howard, 1906-1987",Reporter,,,,,,,,,,,,,,,"World War, 1939-1945 -- Campaigns -- Pacific Ocean",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,,"""General Yamashita Surrender Ceremony,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/36169,36169,egdunham,0,0,,1945-09-02,,2015-12,,,,,,Complex Object,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,
General Yamashita Surrender Ceremony (Side 1),"Howard Pyle's radio broadcast of the surrender ceremony at Baguio City, Philippines. Known as the ""Tiger of Malaya,"" Yamashita surrendered in the presence of Generals Jonathan Wainwright and Arthur Percival, who were previously imprisoned by the Japanese in Manchuria. Pyle said he was the only news correspondent to cover the Japanese surrender on board the USS Missouri and Yamashita's surrender at Baguio City.","Yamashita, Tomobumi, 1885-1946",Associated name,"Pyle, Howard, 1906-1987",Reporter,,,,,,,,,,,,,,,"World War, 1939-1945 -- Campaigns -- Pacific Ocean",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:08:16,"""General Yamashita Surrender Ceremony (Side 1),"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,,162706,egdunham,0,0,,1945-09-02,,2015-12,,,,,,Audio,,36169,1,,,,,,,,,1,,Public,Public,,,,
General Yamashita Surrender Ceremony (Side 2),"Howard Pyle's radio broadcast of the surrender ceremony at Baguio City, Philippines. Known as the ""Tiger of Malaya,"" Yamashita surrendered in the presence of Generals Jonathan Wainwright and Arthur Percival, who were previously imprisoned by the Japanese in Manchuria. Pyle said he was the only news correspondent to cover the Japanese surrender on board the USS Missouri and Yamashita's surrender at Baguio City.","Yamashita, Tomobumi, 1885-1946",Associated name,"Pyle, Howard, 1906-1987",Reporter,,,,,,,,,,,,,,,"World War, 1939-1945 -- Campaigns -- Pacific Ocean",,sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:09:29,"""General Yamashita Surrender Ceremony (Side 2),"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,,162707,egdunham,0,0,,1945-09-02,,2015-12,,,,,,Audio,,36169,1,,,,,,,,,1,,Public,Public,,,,
General Yamashita Surrender Ceremony (Transcript),"Transcription of the surrender ceremony at Baguio City, Philippines.",,,,,,,,,,,,,,,,,,,"World War, 1939-1945 -- Campaigns -- Pacific Ocean",,transcripts|http://vocab.getty.edu/page/aat/300027388,,,,,,,eng,1 page,"""General Yamashita Surrender Ceremony (Transcript),"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,,190214,egdunham,0,0,,,,,,,,,,Document,,36169,1,,,,,,,,,1,,Public,Public,,,,
Howard Pyle Radio Broadcast Descriptions,This document provides a description of each broadcast included in this collection.,"Spindler, Rob",Author,,,,,,,,,,,,,,,,,,,PDF|http://vocab.getty.edu/page/aat/300266022,,,,,,,eng,5 pages,"""Howard Pyle Radio Broadcast Descriptions,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15259,15259,egdunham,0,0,,2010/2011,,,,,,,,Document,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,
Howard Pyle Radio Broadcast Name Index,This index lists the names of individuals that Pyle interviewed and provides the track number on which they appear.,"Spindler, Rob",Author,,,,,,,,,,,,,,,,,,,indexes (reference sources)|http://vocab.getty.edu/page/aat/300026554,,,,,,,eng,3 pages,"""Howard Pyle Radio Broadcast Name Index,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15369,15369,egdunham,0,0,,2012-09-30,,,,,,,,Document,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,
Our War with Japan,Commentary on US military and naval strategy.,"MacPherson, Fred (Frederick Alexander), 1911-",Reporter,,,,,,,,,,,,,,,,,"World War, 1939-1945 -- Japan","World War, 1939-1945 -- Naval operations",sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:11:31,"""Our War with Japan,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15262,15262,egdunham,0,0,,1944,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 01,,0,,Public,Public,,,,
Sermon Regarding the Sermon on the Mount,An unidentified speaker discusses the Sermon on the Mount.,,,,,,,,,,,,,,,,,,,Sermon on the mount,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:06:47,"""Sermon Regarding the Sermon on the Mount,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15263,15263,egdunham,0,0,,,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 02,,0,,Public,Public,,,,
J. Howard Pyle GHQ Program #1,"Pyle describes his arrival at Hamilton Air Force Base in California and comments on the 158th Infantry, which was based in Arizona.","Pyle, Howard, 1906-1987",Reporter,,,,,,,,,,,,,,,,,"World War, 1939-1945 -- United States",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Hamilton Air Force Base (Calif.),"United States. Army. Infantry Regiment, 158th",,,,,eng,0:09:09,"""J. Howard Pyle GHQ Program #1,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15264,15264,egdunham,0,0,,1945-06-16,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 03,,0,,Public,Public,,,,
J. Howard Pyle GHQ Program #2,"Pyle describes his flight to Hawaii on a C-54 aircraft, including the passenger safety briefing featuring a ""Mae West"" life vest.","Pyle, Howard, 1906-1987",Reporter,,,,,,,,,,,,,,,,,"World War, 1939-1945 -- United States",Douglas DC-4 (Transport plane),sound recordings|http://vocab.getty.edu/page/aat/300028633,,,,,,,eng,0:08:47,"""J. Howard Pyle GHQ Program #2,"" Howard Pyle Collection, 1988-00115A, Arizona State University Library.",In Copyright,Attribution-NonCommercial-ShareAlike,,https://repository.asu.edu/items/15265,15265,egdunham,0,0,,1945-06-16,,,,,,,,Audio,J. Howard Pyle Radio Broadcasts,,1,,,,,,,Track 04,,0,,Public,Public,,,,
