Collection Url,Legacy System ID,Creator(s),Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal ontributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Personal contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,This cell intentionally blank,Title,Cataloging Notes,Repository Ingestion Notes,Title as Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Genre/Form Heading,Genre/Form Heading,Genre/Form Heading,Geographic Subject,Geographic Subject,Geographic Subject,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Type of scholarship,Advisor and Committee members for EDTs only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38089,,"Ledesma, Nadia","Thrall, Charlotte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,A culturally competent behavioral weight loss program for adult Latinos with a BMI >30kg/m2,,,,Weight loss,Hispanic Americans,Obesity,Cultural competence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43414,,"Rivera, Argie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,A Depression Care Management Intervention for Home Health Nurses,,,,Depression in old age,Home nursing,Nursing care plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48356,,"Schlumbrecht, Benjamin","Link, Denise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,"A Quality Improvement Project Implementing PrEP Academic Detailing to Impact Provider Knowledge, Attitudes, and Behavior in a Primary Care Setting",,,,Pre-exposure prophylaxis,HIV infections,"Medicine, preventive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48356,,"Ryan, Heather A.","Guthery, Ann","Kelly, Lesly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,A Trauma informed Intervention Using Mindfulness to Improve Early Childhood Classroom Environments.,,,,Mindfulness-based cognitive therapy,Child abuse,Classroom environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53969,,"Whitney, Brittney","Santerre, Jennifer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,A Walking Plan for Pregnant Women with Gestational Diabetes: A Feasibility Study,,,,Diabetes in pregnancy,Fitness walking,Exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53986,,"Tretiakova, Catherine","Isaacson, Tiffaney","Jacobson, Diana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,A Water Safety Education Program for Primary Care Providers,,,,Drowning,Primary care (Medicine),Children's accidents -- Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50063,,"Munson, Megan A.","Bay, Sarah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Addressing Obesity in Hispanic Families Through a Family Centered Approach: An Educational Intervention for Providers,,,,Weight loss,Hispanic Americans,Obesity,Fotonovelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56752,,"Guthery, Ann","Moe, Vanessa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Adolescent Aggression and Restrictive Interventions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43648,,"Huftalin, Tori","Jacobson, Diana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Adolescent Depression: Integrating Behavioral Healthcare in a Pediatric Primary Care Setting,,,,Depression in adolescence,Primary care (Medicine),Mental health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53393,,"Landon, Rebecca J.","McIntosh, Wayne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona State University. College of Nursing and Health Innovation,,Adolescent Mental Health Literacy,,,,Suicide,Self-injurious behavior in adolescence,Adjustment (Psychology),Health literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student scholarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
