Title,Description,Personal Contributor,Personal Contributor,Corporate Contributor,Corporate Contributor,Event Contributor,Table of Contents,Topical Subject,Topical Subject,Genre,Geographic Subject,Corporate Name Subject,Personal Name Subject,Title Subject,Temporal Subject,Language,Extent,Preferred Citation,Copyright Statement,Reuse Permissions,Handle,Legacy System ID,ID,System Creator,Peer-reviewed,Open Access,Series,Date Created,Copyright Date,Date Digitized,Edition,Issuance,Frequency,Collaborating Institution,Statement of Responsibility,Model,Parent Collection,Parent Item,Visibility,Additional Memberships,Place of Publication Text,Place of Publication Code,Coordinates,Related Item,Note,Identifier,Cataloging Standards,Complex Object Child,File Location,Derivative File Permissions,Original File Permissions,Description Source,Embargo Release Date,Level of Coding,File Location
International Smelter Co. Roaster,"Exterior view of an International Smelter Co. roaster including adjacent structures, train tracks, and an El Paso & Southwestern boxcar.","Clayton, Ernest M. (Ernest Mayer), 1883-1958",,,,,,Mines and mineral resources -- Arizona,Mining machinery,Still Image,,"International Smelter Co. (Miami, Ariz.)",,,,eng,"1 3"" x 4"" Glass Plate Negative","""International Smelter Co. Roaster,"" Ernest M. Clayton Photographs, CP SPC 172:1, Arizona State University Library.",In Copyright,Attribution-NonCommercial-NoDerivs,,https://repository.asu.edu/items/41603,41603,egdunham,0,0,,,,2004-03-11,,one time,,,,Image,Ernest M. Clayton Photographs,,1,,,,,,,CP SPC 172:1,,0,,Public,Public,,,,
International Smelter Co. Blowing Engines,Interior view of an International Smelter Co. facility showing blowing engines.  The original negative shows significant decay.,"Clayton, Ernest M. (Ernest Mayer), 1883-1958",,,,,,Mines and mineral resources -- Arizona,Mining machinery,Still Image,,"International Smelter Co. (Miami, Ariz.)",,,,eng,"1 3"" x 4"" Glass Plate Negative","""International Smelter Co. Blowing Engines,"" Ernest M. Clayton Photographs, CP SPC 172:10, Arizona State University Library.",In Copyright,Attribution-NonCommercial-NoDerivs,,https://repository.asu.edu/items/41612,41612,egdunham,0,0,,,,2004-03-12,,one time,,,,Image,Ernest M. Clayton Photographs,,1,,,,,,,CP SPC 172:10,,0,,Public,Public,,,,
International Smelter Co. Converters,Interior view of an International Smelter Co. facility showing a row of converters.,"Clayton, Ernest M. (Ernest Mayer), 1883-1958",,,,,,Mines and mineral resources -- Arizona,Mining machinery,Still Image,,"International Smelter Co. (Miami, Ariz.)",,,,eng,"1 3"" x 4"" Glass Plate Negative","""International Smelter Co. Converters,"" Ernest M. Clayton Photographs, CP SPC 172:11, Arizona State University Library.",In Copyright,Attribution-NonCommercial-NoDerivs,,https://repository.asu.edu/items/41613,41613,egdunham,0,0,,,,2004-03-12,,one time,,,,Image,Ernest M. Clayton Photographs,,1,,,,,,,CP SPC 172:11,,0,,Public,Public,,,,
International Smelter Co. Cooling Pond,Exterior view showing the International Smelter Co.'s cooling pond and three adjacent buildings.,"Clayton, Ernest M. (Ernest Mayer), 1883-1958",,,,,,Mines and mineral resources -- Arizona,Ore-dressing plants,Still Image,,"International Smelter Co. (Miami, Ariz.)",,,,eng,"1 3"" x 4"" Glass Plate Negative","""International Smelter Co. Cooling Pond,"" Ernest M. Clayton Photographs, CP SPC 172:12, Arizona State University Library.",In Copyright,Attribution-NonCommercial-NoDerivs,,https://repository.asu.edu/items/41614,41614,egdunham,0,0,,,,2004-03-12,,one time,,,,Image,Ernest M. Clayton Photographs,,1,,,,,,,CP SPC 172:12,,0,,Public,Public,,,,
International Smelter Co.'s Main Building,"Exterior view of the main building at the International Smelter Co. facility in Miami, Arizona.","Clayton, Ernest M. (Ernest Mayer), 1883-1958",,,,,,Mines and mineral resources -- Arizona,Ore-dressing plants,Still Image,,"International Smelter Co. (Miami, Ariz.)",,,,eng,"1 3"" x 4"" Glass Plate Negative","""International Smelter Co.'s Main Building,"" Ernest M. Clayton Photographs, CP SPC 172:13, Arizona State University Library.",In Copyright,Attribution-NonCommercial-NoDerivs,,https://repository.asu.edu/items/41615,41615,egdunham,0,0,,,,2004-03-12,,one time,,,,Image,Ernest M. Clayton Photographs,,1,,,,,,,CP SPC 172:13,,0,,Public,Public,,,,
International Smelter Co. Switchboard,View of the main switchboard at an International Smelter Co. facility.,"Clayton, Ernest M. (Ernest Mayer), 1883-1958",,,,,,Mines and mineral resources -- Arizona,Mining machinery,Still Image,,"International Smelter Co. (Miami, Ariz.)",,,,eng,"1 3"" x 4"" Glass Plate Negative","""International Smelter Co. Switchboard,"" Ernest M. Clayton Photographs, CP SPC 172:14, Arizona State University Library.",In Copyright,Attribution-NonCommercial-NoDerivs,,https://repository.asu.edu/items/41616,41616,egdunham,0,0,,,,2004-03-12,,one time,,,,Image,Ernest M. Clayton Photographs,,1,,,,,,,CP SPC 172:14,,0,,Public,Public,,,,
International Smelter Co. Facility,"Exterior view of buildings and equipment at the International Smelter Co. facility in Miami, Arizona.","Clayton, Ernest M. (Ernest Mayer), 1883-1958",,,,,,Mines and mineral resources -- Arizona,Ore-dressing plants,Still Image,,"International Smelter Co. (Miami, Ariz.)",,,,eng,"1 3"" x 4"" Glass Plate Negative","""International Smelter Co. Facility,"" Ernest M. Clayton Photographs, CP SPC 172:15, Arizona State University Library.",In Copyright,Attribution-NonCommercial-NoDerivs,,https://repository.asu.edu/items/41617,41617,egdunham,0,0,,,,2004-03-12,,one time,,,,Image,Ernest M. Clayton Photographs,,1,,,,,,,CP SPC 172:15,,0,,Public,Public,,,,
Smelter Under Construction,"View of a smelter facility under construction.  The site shown is most likely the International Smelter Co.'s facility in Miami, Arizona.","Clayton, Ernest M. (Ernest Mayer), 1883-1958",,,,,,Mines and mineral resources -- Arizona,Ore-dressing plants,Still Image,,,,,,eng,"1 3"" x 4"" Glass Plate Negative","""Smelter Under Construction,"" Ernest M. Clayton Photographs, CP SPC 172:16, Arizona State University Library.",In Copyright,Attribution-NonCommercial-NoDerivs,,https://repository.asu.edu/items/41618,41618,egdunham,0,0,,,,2004-03-12,,one time,,,,Image,Ernest M. Clayton Photographs,,1,,,,,,,CP SPC 172:16,,0,,Public,Public,,,,
Inspiration Copper Company Substation Shaft,Exterior view of a substation shaft at an Inspiration Copper Company facility.,"Clayton, Ernest M. (Ernest Mayer), 1883-1958",,,,,,Mines and mineral resources -- Arizona,Mining machinery,Still Image,,Inspiration Consolidated Copper Company,,,,eng,"1 3"" x 4"" Glass Plate Negative","""Inspiration Copper Company Substation Shaft,"" Ernest M. Clayton Photographs, CP SPC 172:17, Arizona State University Library.",In Copyright,Attribution-NonCommercial-NoDerivs,,https://repository.asu.edu/items/41619,41619,egdunham,0,0,,,,2004-03-12,,one time,,,,Image,Ernest M. Clayton Photographs,,1,,,,,,,CP SPC 172:17,,0,,Public,Public,,,,
Miami Power Plant,Exterior view of the Miami Power Plant showing the main building and train tracks leading to the facility.,"Clayton, Ernest M. (Ernest Mayer), 1883-1958",,,,,,Mines and mineral resources -- Arizona,Ore-dressing plants,Still Image,,,,,,eng,"1 3"" x 4"" Glass Plate Negative","""Miami Power Plant,"" Ernest M. Clayton Photographs, CP SPC 172:18, Arizona State University Library.",In Copyright,Attribution-NonCommercial-NoDerivs,,https://repository.asu.edu/items/41620,41620,egdunham,0,0,,,,2004-03-12,,one time,,,,Image,Ernest M. Clayton Photographs,,1,,,,,,,CP SPC 172:18,,0,,Public,Public,,,,
