Collection Url,ID,Creator,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Title,Repository Ingestion Notes,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10,Keyword 11,Keyword 12,Keyword 13,Keyword 14,Keyword 15,Keyword 16,Keyword 17,Keyword 18,Keyword 19,Title as Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Genre/Form Heading,Genre/Form Heading,Genre/Form Heading,Geographic Subject,Geographic Subject,Geographic Subject,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Type of scholarship,Advisor and Committee members for EDTs only,,,,,,,,,,,,,,,,,
,41315,,"Perry, Anali Maughan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Campaign for Creating Awareness for OER at ASU,,,,,,,,,,,,,,,,,,,,,,Open educational resources in libraries,Academic libraries,Collection development (Libraries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,41314,,"Perry, Anali Maughan","Chaney, Dan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academic Libraries: Lowering the Cost of Education One Textbook at a Time,,,,,,,,,,,,,,,,,,,,,,Open educational resources in libraries,MOOCS (Web-based instruction),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,55112,,"Perry, Anali Maughan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building copyright confidence in instructional designers,,,,,,,,,,,,,,,,,,,,,,Instructional systems,Copyright,Electronic information resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,9495,,"Perry, Anali Maughan","Carlock, Danielle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploring faculty experiences with e-books: a focus group,,Electronic books/ebooks,Faculty,Libraries,,,,,,,,,,,,,,,,,,Electronic books,Academic libraries,College teachers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,45595,,"Perry, Anali Maughan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Global Education, Global Challenges: Licensing for the New American University",,,,,,,,,,,,,,,,,,,,,,Copyright,Electronic information resources,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,25317,,"Perry, Anali Maughan","Pannabecker, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Let's Go! An Open Access Travel Guide,,Open access,,,,,,,,,,,,,,,,,,,,Open educational resources in libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,9496,,"Perry, Anali Maughan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lights, camera, action! How to produce a library minute",Typo in summary: Arizona State University (ASU) Libraries wanted to nd a sustainable way to share videos that would require minimal staff time to cre- ate and produce.,Libraries,Video,Video production,,,,,,,,,,,,,,,,,,Video recordings,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,35895,,"Perry, Anali Maughan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal Productivity: The Eternal Quest,,,,,,,,,,,,,,,,,,,,,,Labor productivity,Time management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,25316,,"Perry, Anali Maughan","Harp, Matthew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Producing and Evaluating The Library Minute,6 image files (png),Library minute,Marketing,Video produection,,,,,,,,,,,,,,,,,,Video recordings,Marketing,Academic libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,,,"Perry, Anali Maughan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Productivity Toolbox – Tips and Tricks for Getting Things Done,,Productivity,,,,,,,,,,,,,,,,,,,,Labor productivity,Time management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
