ID,Title,Description,"Personal Contributor","Corporate Contributor","Event Contributor","Topical Subject","Geographic Subject","Personal Name Subject","Title Subject","Temporal Subject",Genre,"Table Of Contents",Language,Extent,"Preferred Citation","Copyright Statement","Reuse Permissions",Handle,"Legacy Identifier","System Creator","Date Created",Peer-reviewed,"Open Access",Series,"Copyright Date","Date Digitized",Edition,Frequency,Issuance,"Related Item","Collaborating Institution","Complex Object Child",Model,"Statement of Responsibility","Parent Item","Parent Collection","Additional Memberships",Coordinates,Note,"Place of Publication Code","Place of Publication Text",Identifier,"Cataloging Standards","Derivative File Permissions","Original File Permissions","Description Source","Embargo Release Date","Level of Coding",Visibility
5603,"A|EDITED culturally competent behavioral weight loss program for adult Latinos with a BMI &gt;30kg/m2|","<p>This study answers the question, “In Adult Hispanic BMI ≥ 30 (P), how does development of a weight loss program that utilizes Motivational Interviewing (I) compared to counseling and educational materials only (C) affect weight loss over the period of three months (T).” There are limited published systematic reviews and randomized control trials to evaluate the effectiveness of Motivational Interviewing (MI), in conjunction with diet and exercise to promote weight loss. Participants (n = 5) were Latino patients of a local community health care center who were overweight and medically at risk due to unhealthy lifestyles that were determined through a screening test. The 4-week clinical pathway program used motivational interviewing in one-on-one sessions every other week, and implemented the “Your Heart, Your Life” curriculum the other weeks.  One expected outcome included lower anthropometric measurement numbers of participants’ WL, BMI, WC, and BP. Another expected outcome was an increase in physical activity. Participants were also expected to earn a higher score on a post-test about nutrition and healthy living. A paired t-test and power analyses were used to assess its effectiveness. Results indicated significant decrease in weight loss (t [5] = 3.68, p = .0211, Cohen’s dz=1.647). For heart healthy habits, there were significant increases all three categories: weight management (t [5] = - 3.36, p = .0211), cholesterol and fat (t [5] = - 3.138, p =.035, salt and sodium (t [5] = - 4.899, p = .008). In addition, there was an increase in knowledge (t [5] = - 4.000, p = .016).  Every participant showed small gains. Future implications should include more participants, including males, a control group, innovative activities that help to motivate a community of learners and more flexibility in allotted time for interventions.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Weight loss|http://id.loc.gov/authorities/subjects/sh85112135 || Hispanic Americans|http://id.loc.gov/authorities/subjects/sh00006041 || Obesity|http://id.loc.gov/authorities/subjects/sh85093646 || Cultural competence|http://id.loc.gov/authorities/subjects/sh2009005565",,,,,,,English,"64 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.38089,38089,Anonymous,"05/06/2016 - 08:57",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5604,"A|Depression Care Management Intervention for Home Health Nurses|","<p>EDITED Purpose: To examine the implementation of a web-based depression care management training program to increase home health nurses’ knowledge and attitudes regarding depression.</p>
<p>Background and Significance: The Centers for Disease Control and Prevention reported in 2015 that the incidence of major depression in elderly receiving home health service rose to 13.5% compared to less than 5% with those not receiving care in the community.</p>
<p>Materials and Methods: An intervention program was offered to a convenience sample of home health nurses caring for elderly in the community. The Depression CARE for Patients AT Home (depression CAREPATH), which is an evidenced-based online training program consisting of didactic resources about depression screening and depression care management and e-learning modules. Participants were given a pre and post survey to assess their knowledge of the material. Additionally demographic information was obtained via self-report.</p>
<p>Results: A total of 8 out of 18 home health nurses participated in the study. All were females; 13% Caucasian and 88% were Asian. There’s an average of 37 years old (SD 14.7, range 23-58) and had 3 years of experience (SD 2.07, range &lt;1-6). The mean depression CAREPATH knowledge total pre-test score was 15 (SD 1.85, range 13-18), while the mean total post-test score was 18.13 (SD 0.99, range 17-19). There was a difference in the depression knowledge test scores at baseline. All the participants obtained a passing score for the post-test (80%). The mean R-DAQ total pre-test score was 71 (SD 13.37, range 53-71) and mean total post-test score was 68, (SD 3.48, range 62-70). The professional confidence in depression attitude indicated agreement post intervention, except with the feeling comfortable in working with physical illness<br />than mental illness (pre intervention 62.5%, post intervention 100%). Participants agreed that home health nurses are well placed and more confident in assisting patients with depression (pre Depression Care Management 3 3 intervention 75%, post intervention 100%). In addition, participants felt more confident in<br />assessing suicide risk post intervention in patient s presenting with depression. Based from Wilcoxon Signed-ranks test, there was a statistical difference, z = -2.536, p= .01, between the depression knowledge pre and post-test scores, which indicates that there is an increase in depression knowledge after the intervention. However, there was no significant difference, z = -.846, p = .397 between the depression attitude, which indicate that there is no change in depression attitude after the intervention.</p>
<p>Conclusion: For this sample depression knowledge was increased post intervention, however, increase in knowledge did not significantly alter the depression attitude. Further study in a larger more diverse sample is needed for this intervention.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Depression in old age|http://id.loc.gov/authorities/subjects/sh86004838 || Home nursing|http://id.loc.gov/authorities/subjects/sh85061700 || Nursing care plans|http://id.loc.gov/authorities/subjects/sh85093387",,,,,,,English,"29 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.43414,43414,guthery,"05/01/2017 - 21:16",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5605,"A|Quality Improvement Project Implementing PrEP Academic Detailing to Impact Provider Knowledge, Attitudes, and Behavior in a Primary Care Setting|","<p>Background: In 2012 the U.S. Food and Drug Administration (FDA) approved the drug emtricitabine/tenofovir for use as Human Immunodeficiency Virus (HIV) pre-exposure prophylaxis (PrEP) after proving to be safe and effective at preventing HIV in multiple peer-reviewed studies. Despite the proven safety and value of PrEP treatment, use remains low in practice. Research has shown that low clinical use corresponds to low levels of understanding of PrEP among providers. Academic detailing is a method of innovation diffusion through provider education that results in changes in knowledge and practice. The purpose of this project was to investigate the effects of academic detailing on primary care provider knowledge, attitudes, and willingness to prescribe PrEP.</p>
<p>Methods: An academic detailing session was provided by the Florida Department of Health in Broward County to primary care providers (PCPs) at a private clinic in the Southeastern US. The Conceptual Model of Nursing and Population Health (CMNPH) and the Promoting Action on Research Implementation in Health Services Framework (PARIHS) were used as guides for project design and evidence-based practice implementation. There were five participants in the academic detailing session including: a physician, a physician assistant (PA), and three medical students. PCP PrEP knowledge, attitudes, and behaviors were measured using pre and post intervention surveys. PrEP prescription, HIV/Sexually Transmitted Infection (STI) screening, and HIV testing were measured using aggregate data queries for the time periods of four and eight weeks before and four and eight weeks after the educational intervention. No personal identifying information was obtained.</p>
<p>Results: Pre and post surveys were analyzed using Wilcoxon signed rank testing to examine differences between matched pairs of ordinal data. Significant PrEP screening and HIV/STI testing were analyzed pre and post intervention using paired t tests to compare pre and post intervention practices. Significant differences were found in the results (Z = 2.03, 1.84, and 1.83 respectively, p &gt; 0.1) The academic detailing intervention significantly improved knowledge, attitudes, and behaviors of primary care providers and medical students regarding PrEP. The mean of active qualifying ICD 10 codes prior to the intervention versus post intervention were 5 (sd = 5.64) vs. 4.2 (sd = 4.87) respectively. No significant difference was found between active ICD 10 codes for patient visits before compared to after the intervention (t (9) = 1.12, p&gt;.1).</p>
<p>Conclusions: This project found that academic detailing improved provider self-reported knowledge, attitudes, and behaviors regarding PrEP. However, self-reported survey scores were not correlated with changes in clinical practice based on ICD 10 codes. Additional clinical implications may include fostering clinical outreach and cooperation between the county health department and local primary care clinics. Further research is needed on the effects of PrEP academic detailing on clinical practice.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Pre-exposure prophylaxis|http://id.loc.gov/authorities/subjects/sh2017003696 || HIV infections|http://id.loc.gov/authorities/subjects/sh91004036 || Medicine, preventive",,,,,,,English,"50 pages",,"In Copyright",Attribution-NonCommercial-NoDerivs,https://hdl.handle.net/2286/R.I.48356,48356,admin,"04/25/2018 - 13:29",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5606,"A|Walking Plan for Pregnant Women with Gestational Diabetes|A Feasibility Study","<p>Gestational diabetes mellitus (GDM) is a well-established predictor for the development of type II diabetes mellitus (T2DM) later in life. The incidence of GDM has been on the rise over the past 30 years and is the leading co-morbidity during pregnancy (Ferrara, 2007). Physical activity (PA) in combination with nutritional therapy has been shown to achieve glycemic control in women with GDM and is therefore first line therapy for management (American College of Obstetrics and Gynecology [ACOG], 2017; Center for Disease Control and Prevent [CDC], 2018). Recommendations for PA in pregnancy include 150 minutes of moderate intensity exercise most days of the week (ACOG 2015; U.S. Department of Health &amp; Human Services, 2018).  Because of this, an innovative project was created to determine the feasibility of adding a walking plan into GDM care. Participants in the project received verbal and written instruction on an unsupervised structured walking plan set up for a beginner to gradually increase PA to the recommended time of 150 minutes per week for a total of four weeks. Eight women were interested, recruited, and enrolled in the project. Results show that overall, participant PA increased. One hundred percent agreed that the walking plan was useful and increased their awareness about PA. The addition of a walking plan in GDM teaching is an effective strategy to lower serum blood glucose (SBG) levels and for meeting PA recommendations during pregnancy.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Diabetes in pregnancy|http://id.loc.gov/authorities/subjects/sh85037466 || Fitness walking|http://id.loc.gov/authorities/subjects/sh93006718 || Exercise|http://id.loc.gov/authorities/subjects/sh00005703",,,,,,,English,"31 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.53969,53969,kpardon1,"05/15/2019 - 17:30",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5607,"A|Water Safety Education Program for Primary Care Providers|","<p>Purpose/Aims: We aim to increase understanding of water safety measures among primary care providers and improve the quality and efficiency of parent water-safety education. </p>
<p>Background and Significance: Drownings are the leading cause of death in one to four year old children in the United States. Arizona’s drowning rate is nearly double the national average for this age group. Water safety is an important anticipatory guidance topic a primary care provider should be discussing at all well visits.  The Health Belief Model is an effective framework to guide family education interventions. It is strongly encouraged that providers incorporate water safety education into the developmental milestone discussions. </p>
<p>Methods: Ten providers recruited from six Arizona pediatric primary care clinics participated in an educational one-hour session. Providers were encouraged to prioritize water safety discussions within the one to four year old age group and deliver education in the context of individual child development. Additionally, providers were updated on water safety recommendations from the Center for Family Health and Safety at Phoenix Children’s Hospital. Supplemental handouts with developmental water safety information were given to each office to aid providers in parent education. A pre-survey was administered to the providers prior to the education session and a post-survey was given at an eight-week follow up. The surveys measured provider perception and current practices of water safety education and utilized a Likert scale to compare data sets. Current and retrospective chart reviews were conducted to evaluate sustainability of the educational intervention.</p>
<p>Outcomes/Results: Sixty percent of provider participants were Medical Doctors (MD) and 40% were Nurse Practitioners (NP) with experience ranging from one year to over 20 years. Following the education session, providers were more likely to discuss keeping a child at arms-reach at all times (p=0.046) during their well visits. There was also an increase in providers incorporating water safety discussions into milestone education (p=0.054).</p>
<p>Conclusion: This educational intervention empowered providers to deliver water safety education in the context of normal developmental milestones at each one to four year old well visit. The anticipatory guidance emphasizes to parents that the behaviors their children exhibit are healthy and normal, but also explains how achieving these milestones put their children at greater risk for drownings. This quality improvement project is part of a larger initiative to decrease the number of drownings in Arizona through education and policy</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Drowning|http://id.loc.gov/authorities/subjects/sh85039668 || Primary care (Medicine)|http://id.loc.gov/authorities/subjects/sh92006808 || Children&#039;s accidents -- Prevention",,,,,,,English,"39 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.53986,53986,kpardon1,"05/16/2019 - 17:04",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5608,"|Addressing Obesity in Hispanic Families Through a Family Centered Approach|An Educational Intervention for Providers","<p>Current obesity statistics exceed national goals with Hispanics disproportionately affected. Evidence suggests a family centered methodology focusing on culture can positively improve weight loss, client satisfaction and participation. This project will evaluate use of culturally tailored resources for primary care providers to educate Hispanics on weight loss. Eight providers in a small practice in the Southwestern US were recruited to complete a pre- and postEBPAS tool after an educational session. A BMI form tracked provider use of the fotonovela<br />intervention against preferred methods. Feedback on time spent educating and overall perception were collected. Four providers completed the pre-EBPAS, three completed the post-, one participated in the intervention, and six contributed project feedback. Descriptive statistics revealed an aggregate provider decrease of five-points post-educational session for attitude toward adopting EBP. The BMI documentation form demonstrated a 53% (n = 8) use of the fotonovela. However, there were five undocumented fotonovelas taken/given out postintervention. Key themes noted by providers included poor timing of the project, satisfaction with workflow and resources, and overall discontent for the fotonovela. Future implications include re-evaluating the project in a practice not undergoing significant changes with specific focus on timing of the intervention.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Weight loss|http://id.loc.gov/authorities/subjects/sh85112135 || Hispanic Americans|http://id.loc.gov/authorities/subjects/sh00006041 || Obesity|http://id.loc.gov/authorities/subjects/sh85093646 || Fotonovelas|http://id.loc.gov/authorities/subjects/sh85051036",,,,,,,English,"84 pages",,,,https://hdl.handle.net/2286/R.I.50063,50063,kpardon1,"07/19/2018 - 13:35",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5609,"|Adolescent Aggression and Restrictive Interventions|","<p>Seclusion and restraint are restrictive interventions that continue to be used in both physical care and mental health care settings as a means of controlling dangerous behavior such as aggression. Restrictive interventions place patients and healthcare staff in hostile situations that can lead to physical, mental, and emotional injuries that can last a lifetime. Unfortunately, restrictive interventions continue to be used in many healthcare organizations around the world and the<br />number of patient and staff injuries continue to rise. Stakeholders at a Phoenix area psychiatric inpatient hospital conducted an internal audit on the number of seclusion and restraint episodes in 2019, which revealed an increase in the number of seclusion and restraints episodes on the adolescent unit. The result of this audit led to the project question: For nurses on an acute adolescent inpatient unit, is a seclusion and restraint education program more effective than usual<br />practice in changing the knowledge and attitude regarding seclusion and restraint? The purpose of this practice change project was to provide staff education that focused on trauma informed care, de-escalation techniques, and therapeutic communication to improve staff confidence to ultimately lead to the reduction of seclusion and restraint use on an adolescent inpatient unit. A<br />pre and posttest questionnaire designed to better understand nurse attitude and knowledge regarding restrictive interventions prior to the education session was provided. A convenience sample of nurses (N=9) participated in the project. The findings from the pre and posttest questionnaire suggest that seclusion and restraint education for nurses may improve nurse knowledge and attitude regarding the use of restrictive interventions and reduce rates of use.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,,,,,,,,English,"45 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.56752,56752,guthery,"05/03/2020 - 14:28",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5610,"|Adolescent Depression|Integrating Behavioral Healthcare in a Pediatric Primary Care Setting","<p>INTRODUCTION: Despite depression affecting one of every ten adolescents, primary care providers struggle to detect depression in affected individuals. Unmanaged early onset adolescent mood disorders have an increased potential to result in suicide, the second leading cause of death in adolescents. Referring all patients with a positive depression screen to a mental health specialist creates treatment delay and burdens already limited community resources.</p>
<p>OBJECTIVE: The objective of this primary care practice transformation was to improve pediatric primary care provider confidence and behavior to support and deliver evidence-based behavioral healthcare for adolescents with mild to moderate depression.</p>
<p>METHODS: An evidence-based adolescent depression education program was delivered to pediatric primary care providers in a small community setting. The program’s components included measures to identify and manage mild to moderate depression. Outcome measures included: 1) provider knowledge, beliefs, and confidence measured pre- and post-intervention; and 2) electronic health record documentation of provider adherence to guideline recommendations one, two, and three months post-intervention.</p>
<p>RESULTS: Four providers participated in the intervention. The mean total score for the provider beliefs and knowledge from a 5-point Likert scale demonstrated a positive increase after the intervention (14.75 vs. 23.25, p = .068). The mean total provider confidence score achieved near significance as well (12.25 vs. 21.75, p = .066). Resultant behavior change in the providers did not reach statistical significance when the electronic health records of all adolescent well visits over a three-month period were assessed. Screening for depression at adolescent well visits<br />ADOLESCENT DEPRESSION 3<br />increased from 0% to 84-90% post-intervention. Setting treatment goals upon detection of depression increased from 0% to 41% (p = .089). Providers appropriately administered active support 67% of the time when a patient was identified with mild depressive symptomology post-intervention. Providers complied with guideline recommendations with identified cases of moderate and severe depression (n = 2).</p>
<p>CONCLUSIONS: Pediatric primary care providers demonstrated some positive behavioral changes towards integrating behavioral healthcare into their practice after an educational session on the guidelines for adolescent depression.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Depression in adolescence|http://id.loc.gov/authorities/subjects/sh88005836 || Primary care (Medicine)|http://id.loc.gov/authorities/subjects/sh92006808 || Mental health services|http://id.loc.gov/authorities/subjects/sh00006456",,,,,,,English,"20 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.43648,43648,kpardon1,"05/15/2017 - 18:32",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5611,"|Adolescent Mental Health Literacy|","<p>Adolescents in the U.S. are experiencing a growing epidemic of maladaptive coping. The increasing occurrence of these behaviors make it likely that school personnel will continue to see an increase in adolescents presenting with maladaptive coping patterns, such as nonsuicidal self-injury and suicide, highlighting the urgency for continued research regarding effective education. Nonsuicidal self-injury is highly correlated with suicidal behavior, and suicide is the second leading cause of death among ten to nineteen year olds in the US. Research points to the use of a specific type of Coping Skills Training known as Mental Health Literacy that reduces the chances that maladaptive coping will become the norm in adulthood.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Suicide|http://id.loc.gov/authorities/subjects/sh85129742 || Self-injurious behavior in adolescence|http://id.loc.gov/authorities/subjects/sh2014002388 || Adjustment (Psychology)|http://id.loc.gov/authorities/subjects/sh85000892 || Health literacy|http://id.loc.gov/authorities/subjects/sh2013000623",,,,,,,English,"47 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.53393,53393,kpardon1,"05/09/2019 - 15:06",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5612,"|Advance Care Planning|How Do We Get to Completion?","<p>Advance care planning (ACP) is the act of deciding ones wishes at the end-of-life and making those wishes known. Healthcare providers rely on these wishes to provide end-of-life care. Despite the impact ACP has on quality of life at the end-of-life, most conversations remain undocumented. Even when ACP conversations take place, completion rates remain at an all-time low. This report explored the impact of appointment call reminders and patient portal messages on advance directive (AD) completion and documentation in the EHR. Following completion, a primary care practice experienced an increase in ACP conversation and ACP completion in the EHR. This report will discuss the methods utilized to improve ACP completion.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Primary care (Medicine)|http://id.loc.gov/authorities/subjects/sh92006808 || Advance directives (Medical care)|http://id.loc.gov/authorities/subjects/sh98000411",,,,,,,English,,"<p>22 pages</p>","In Copyright",,https://hdl.handle.net/2286/R.I.53974,53974,kpardon1,"05/16/2019 - 12:26",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
5613,"|Advance Care Planning in a Primary Care Setting|","<p>Purpose: Advance care planning (ACP) allows an individual to discuss and document their personal preferences at end-of-life. ACP has been shown to improve communication and reduce discomfort for patients and their families. The literature supports utilizing formalized, multimodality training programs for healthcare providers in order to increase their confidence in initiating ACP discussions. These findings led to the initiation of an evidence-based practice project in a primary care setting with the purpose of increasing advance care planning discussions between providers and patients with the use of a standardized education tool. </p>
<p>Background and Significance: National regulations mandate that patients are provided information about advance directives in the healthcare setting, but completion rates are not monitored and continue to be low. ACP is now a billable service for healthcare providers, but it has not provided enough incentive to increase completion rates. Barriers for healthcare providers in the outpatient setting include lack of time, protocols, and lack of education on how to initiate and foster advance care planning discussions. </p>
<p>Methods: Healthcare providers in a primary care office attended a 15-minute structured educational session with and a toolkit was provided on the importance of ACP, how to initiate conversations with patients, and bill for the service. Participants completed a portion of the Knowledge, Attitudinal, and Experiential Survey on Advance Directives (KAESAD) survey assessing their confidence in ACP before and three months post intervention. Participant confidence (N = 6) in ACP was analyzed using the Wilcoxin test and descriptive statistics. The number of billed ACP services for the office was collected for four months post intervention and compared to the previous four months. Outcomes: A significant increase in provider confidence after participating in a multimodality education program was found in the results (Z = -2.21, p = .03). There was a 42.1% increase in the number of billed ACP discussions for the office in the four months post intervention. </p>
<p>Conclusion: The future desired state is that ACP discussions become standard practice in primary care leading to the completion of advance directives. This can be accomplished through formalized education sessions and resources for providers in order to increase their confidence in initiating ACP discussions with patients. The ultimate goal is to decrease unnecessary spending at end-of-life while improving patient and family satisfaction with the quality of care received at end-of-life.</p>",,"Arizona State University. College of Nursing and Health Innovation||Contributor",,"Advance directives (Medical care)|http://id.loc.gov/authorities/subjects/sh98000411 || Primary care (Medicine)|http://id.loc.gov/authorities/subjects/sh92006808 || Terminal care|http://id.loc.gov/authorities/subjects/sh85134007",,,,,,,English,"57 pages",,"In Copyright",,https://hdl.handle.net/2286/R.I.49679,49679,kpardon1,"06/12/2018 - 18:00",,,,,,,,,,"Test Collab Institution #1 || Test Collab Institution #2",0,"Digital Document",,,"Doctor of Nursing Practice (DNP) Final Projects",,,,,,,asu1,,,,,intermediate,published
