,item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file type,media type,storage path,old item id,image id,document id,video id,audio id,generic file id
0,92662,"Final Report of the ad hoc Task Force on Electronic Theses and Dissertations, Arizona State University",92662,ETD final report.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",59763,603,2012-07-09 21:58:45.704740+00:00,filestore/8d/c4/91/8dc49190f9107e1b0c89a59dae66b0cf,8dc49190f9107e1b0c89a59dae66b0cf,application/pdf,ETD final report.pdf,62301,/attachments/92662/content/ETD%20final%20report.pdf,file,document,8d/c4/91/8dc49190f9107e1b0c89a59dae66b0cf,14103,,59763,,,
1,14104,"Digital Here Now, Maybe Forever: Collecting and Collaborations",92664,Digital_Here_Now.ppt,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",59776,622,2012-07-09 22:28:15.083198+00:00,filestore/3e/5d/51/3e5d511e9a2865fe87f065784fd41e1c,3e5d511e9a2865fe87f065784fd41e1c,application/vnd.ms-powerpoint,Digital_Here_Now.ppt,412160,/attachments/92664/content/Digital_Here_Now.ppt,file,file,3e/5d/51/3e5d511e9a2865fe87f065784fd41e1c,,,,,,59776
2,14105,Working Together Revisited: Diverse Skills for Sustainability,92665,Working Together Revisited.ppt,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",59777,303,2012-07-09 22:35:43.414234+00:00,filestore/bb/14/c8/bb14c8ab9f7a56a98144d82577d8b1be,bb14c8ab9f7a56a98144d82577d8b1be,application/vnd.ms-powerpoint,Working Together Revisited.ppt,87552,/attachments/92665/content/Working%20Together%20Revisited.ppt,file,file,bb/14/c8/bb14c8ab9f7a56a98144d82577d8b1be,,,,,,59777
3,14106,"E-Records Workshop, University of California",92666,UC E-Records Workshop final.ppt,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",59778,367,2012-07-09 22:45:13.417972+00:00,filestore/15/a3/3c/15a33ca5e063680370ad16bdf347a2b4,15a33ca5e063680370ad16bdf347a2b4,application/vnd.ms-powerpoint,UC E-Records Workshop final.ppt,635392,/attachments/92666/content/UC%20E-Records%20Workshop%20final.ppt,file,file,15/a3/3c/15a33ca5e063680370ad16bdf347a2b4,,,,,,59778
4,14107,"Final Report of the Task Force on Electronic Publications, Society of American Archivists",92667,tfep-finalreport.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",59779,1966,2012-07-09 22:55:01.482788+00:00,filestore/1b/e6/9c/1be69cdff106de3baa80f915e4bcdd04,1be69cdff106de3baa80f915e4bcdd04,application/pdf,tfep-finalreport.pdf,286087,/attachments/92667/content/tfep-finalreport.pdf,file,document,1b/e6/9c/1be69cdff106de3baa80f915e4bcdd04,,,59779,,,
5,92902,Normal Education: Arizona State University In 1912,92902,Normal Education.pptx,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",60074,813,2012-07-20 23:14:05.809012+00:00,filestore/07/4f/bb/074fbb89bc91c741a8a3e4919341185b,074fbb89bc91c741a8a3e4919341185b,application/zip,Normal Education.pptx,19813613,/attachments/92902/content/Normal%20Education.pptx,file,file,07/4f/bb/074fbb89bc91c741a8a3e4919341185b,14182,,,,,60074
6,14183,Developing a Digital Materials Business Strategy,92905,Developing a Digital Materials Business Strategy.pptx,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",60077,440,2012-07-20 23:22:35.450554+00:00,filestore/84/37/0a/84370a6b3e25afcbaa759ac7cf55b742,84370a6b3e25afcbaa759ac7cf55b742,application/zip,Developing a Digital Materials Business Strategy.pptx,111359,/attachments/92905/content/Developing%20a%20Digital%20Materials%20Business%20Strategy.pptx,file,file,84/37/0a/84370a6b3e25afcbaa759ac7cf55b742,,,,,,60077
7,14184,Why Arizona? An Arizona Centennial Public Engagement Project,92906,Why Arizona Presentation.pptx,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",60078,301,2012-07-20 23:38:11.333121+00:00,filestore/ac/17/ed/ac17edefd82025d90d0490d1320758dc,ac17edefd82025d90d0490d1320758dc,application/zip,Why Arizona Presentation.pptx,2918478,/attachments/92906/content/Why%20Arizona%20Presentation.pptx,file,file,ac/17/ed/ac17edefd82025d90d0490d1320758dc,,,,,,60078
8,14186,Guardian of the Flame Sri Lanka Manuscripts Collection,92910,AZLA Guardians of the Flame 2008 12 10.ppt,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",60082,3659,2012-07-23 23:03:31.995537+00:00,filestore/21/44/c2/2144c24258f33bfb004c1635e0a08bb5,2144c24258f33bfb004c1635e0a08bb5,application/vnd.ms-powerpoint,AZLA Guardians of the Flame 2008 12 10.ppt,2487808,/attachments/92910/content/AZLA%20Guardians%20of%20the%20Flame%202008%2012%2010.ppt,file,file,21/44/c2/2144c24258f33bfb004c1635e0a08bb5,,,,,,60082
9,14187,"Electronic Publishing, ETD’s and Institutional Repositories",92911,Electronic Publishing and ETD’s.htm,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",60083,790,2012-07-23 23:22:41.879266+00:00,filestore/74/52/d0/7452d0c3862a036d0724db108225ff72,7452d0c3862a036d0724db108225ff72,text/html,Electronic Publishing and ETD’s.htm,59817,/attachments/92911/content/Electronic%20Publishing%20and%20ETD%E2%80%99s.htm,file,file,74/52/d0/7452d0c3862a036d0724db108225ff72,,,,,,60083
10,14188,Institutional Repositories and the Market of Ideas,92912,Institutional Repositories and the Market of Ideas.htm,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",60084,515,2012-07-23 23:31:09.405165+00:00,filestore/9a/97/aa/9a97aa74d05dba9e11bf4cb9d4b559fa,9a97aa74d05dba9e11bf4cb9d4b559fa,text/html,Institutional Repositories and the Market of Ideas.htm,51781,/attachments/92912/content/Institutional%20Repositories%20and%20the%20Market%20of%20Ideas.htm,file,file,9a/97/aa/9a97aa74d05dba9e11bf4cb9d4b559fa,,,,,,60084
11,16491,In Search of Strategic Direction: Digital Preservation in the Academy,103841,NHPRC-02 keynote-mpeg4 for web 320x240.mp4,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",72995,266,2013-03-28 22:02:15.213671+00:00,filestore/9b/68/d0/9b68d068e9783427a53b3a15c42a33b9,9b68d068e9783427a53b3a15c42a33b9,video/mp4,NHPRC-02 keynote-mpeg4 for web 320x240.mp4,132594328,/attachments/103841/content/NHPRC-02%20keynote-mpeg4%20for%20web%20320x240.mp4,file,video,9b/68/d0/9b68d068e9783427a53b3a15c42a33b9,,,,72995,,
12,111095,"ROTC Building Occupation at ASU, April 23-25, 1969",111095,ROTC protest.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",82996,734,2013-08-06 21:40:08.556216+00:00,filestore/16/57/2e/16572e084f227fcbcb1604be89cd22d4,16572e084f227fcbcb1604be89cd22d4,application/pdf,ROTC protest.pdf,32178,/attachments/111095/content/ROTC%20protest.pdf,file,document,16/57/2e/16572e084f227fcbcb1604be89cd22d4,18225,,82996,,,
13,18618,Review of David Foster's Glimpses of Phoenix: The Desert Metropolis in Written and Visual Media,113514,Foster review.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",86246,366,2013-09-27 16:10:43.528451+00:00,filestore/16/01/ec/1601ec6dd895798f5c136b95d6bc3bee,1601ec6dd895798f5c136b95d6bc3bee,application/pdf,Foster review.pdf,27156,/attachments/113514/content/Foster%20review.pdf,file,document,16/01/ec/1601ec6dd895798f5c136b95d6bc3bee,,,86246,,,
14,123938,Selling Sunshine: ASU Solar Energy Research: 1951-1980,123938,selling_sunshine_exhibit.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",102001,1958,2013-12-20 17:00:13.897581+00:00,filestore/c1/65/01/c165014433d21aa5b1d8f4ffb8add15c,c165014433d21aa5b1d8f4ffb8add15c,application/pdf,selling_sunshine_exhibit.pdf,171224,/attachments/123938/content/selling_sunshine_exhibit.pdf,file,document,c1/65/01/c165014433d21aa5b1d8f4ffb8add15c,19994,,102001,,,
15,135630,An Evaluation of Crowdsourcing and Participatory Archives Projects for Archival Description and Transcription,135630,Research Paper v3.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",114647,5417,2014-06-30 18:23:02.404981+00:00,filestore/89/74/39/897439eb41c76aa053770186e95dbe8c,897439eb41c76aa053770186e95dbe8c,application/pdf,Research Paper v3.pdf,736040,/attachments/135630/content/Research%20Paper%20v3.pdf,file,document,89/74/39/897439eb41c76aa053770186e95dbe8c,25327,,114647,,,
16,29179,"Accounting for Keating: Privacy, Corruption and Disclosure in the American Continental Corporation Records Collection",148275,American_Continental.pptx,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",129649,1251,2015-04-27 20:07:56.440535+00:00,filestore/34/0a/11/340a11a553370b19b3e3315d7164cbca,340a11a553370b19b3e3315d7164cbca,application/vnd.ms-powerpoint,American_Continental.pptx,5181207,/attachments/148275/content/American_Continental.pptx,file,file,34/0a/11/340a11a553370b19b3e3315d7164cbca,,,,,,129649
17,184238,Lincoln Ragsdale's Emancipation Proclamation Radio Shows,184238,Lincoln Ragsdale’s Emancipation Proclamation Radio Shows.pptx,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",175074,557,2017-05-05 22:27:01.963168+00:00,filestore/ae/1e/72/ae1e7293ff68ac6653a309dbb0c14c22,ae1e7293ff68ac6653a309dbb0c14c22,application/vnd.ms-powerpoint,Lincoln Ragsdale’s Emancipation Proclamation Radio Shows.pptx,4488065,/attachments/184238/content/Lincoln%20Ragsdale%E2%80%99s%20Emancipation%20Proclamation%20Radio%20Shows.pptx,file,file,ae/1e/72/ae1e7293ff68ac6653a309dbb0c14c22,43601,,,,,175074
18,195356,Phoenix Annexation Workshop,195356,IHR_Annexation_South_Phoenix.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",188928,124,2018-03-14 18:30:22.804847+00:00,filestore/67/f6/f8/67f6f81bd1b431b2b70a0e362bf67d96,67f6f81bd1b431b2b70a0e362bf67d96,application/pdf,IHR_Annexation_South_Phoenix.pdf,1977590,/attachments/195356/content/IHR_Annexation_South_Phoenix.pdf,file,document,67/f6/f8/67f6f81bd1b431b2b70a0e362bf67d96,46629,,188928,,,
19,46630,Japanese-American Internment Camp Collection,195358,AZ_Archives_Summit_Japanese_Internment_Camps.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",188930,130,2018-03-14 18:52:46.462751+00:00,filestore/0f/6a/10/0f6a10bacbb7129cb03588c843594a37,0f6a10bacbb7129cb03588c843594a37,application/pdf,AZ_Archives_Summit_Japanese_Internment_Camps.pdf,4951465,/attachments/195358/content/AZ_Archives_Summit_Japanese_Internment_Camps.pdf,file,document,0f/6a/10/0f6a10bacbb7129cb03588c843594a37,,,188930,,,
20,55075,ASU in the Postwar Period: Victory Village,222029,WWII_ASU in the postwar period.mp4,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",218503,103,2019-11-14 22:17:01.935244+00:00,filestore/4a/e7/a0/4ae7a0a7345f1f32274780b65108d565,4ae7a0a7345f1f32274780b65108d565,video/mp4,WWII_ASU in the postwar period.mp4,1405369658,/attachments/222029/content/WWII_ASU%20in%20the%20postwar%20period.mp4,file,video,4a/e7/a0/4ae7a0a7345f1f32274780b65108d565,,,,218503,,
21,92663,"Final Report of the ad hoc Task Force on Electronic Theses and Dissertations, Arizona State University",92663,ETD Final Report.Appendices.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",59772,450,2012-07-09 22:06:22.782023+00:00,filestore/99/5f/74/995f741b296e99079ccf04f1caf695bb,995f741b296e99079ccf04f1caf695bb,application/pdf,ETD Final Report.Appendices.pdf,178768,/attachments/92663/content/ETD%20Final%20Report.Appendices.pdf,file,document,99/5f/74/995f741b296e99079ccf04f1caf695bb,14103,,59772,,,
22,92903,Normal Education: Arizona State University In 1912,92903,asu IN 1912 script.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",67494,1116,2013-02-04 17:19:10.794860+00:00,filestore/99/7d/91/997d91b7cc6647aa8da18aa161ebdaee,997d91b7cc6647aa8da18aa161ebdaee,application/pdf,asu IN 1912 script.pdf,45273,/attachments/92903/content/asu%20IN%201912%20script.pdf,file,document,99/7d/91/997d91b7cc6647aa8da18aa161ebdaee,14182,,67494,,,
