item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file type,media type,storage path
28293,Personal Fear of Death and Grief in Bereaved Mothers,145697,Barr and Cacciatore Personal Fear of Death.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",126826,1389,2015-03-23 20:34:04.846569+00:00,filestore/c9/91/46/c99146e5dacdf73d2cce5f310ac88b38,c99146e5dacdf73d2cce5f310ac88b38,application/pdf,Barr and Cacciatore Personal Fear of Death.pdf,179976,/attachments/145697/content/Barr%20and%20Cacciatore%20Personal%20Fear%20of%20Death.pdf,file,document,c9/91/46/c99146e5dacdf73d2cce5f310ac88b38
28294,PROBLEMATIC EMOTIONS AND MATERNAL GRIEF,145698,Barr and Cacciatore Problematic emotions.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",126827,1310,2015-03-23 20:36:37.297600+00:00,filestore/43/8c/15/438c15064384c846df11e993f4742f34,438c15064384c846df11e993f4742f34,application/pdf,Barr and Cacciatore Problematic emotions.pdf,156311,/attachments/145698/content/Barr%20and%20Cacciatore%20Problematic%20emotions.pdf,file,document,43/8c/15/438c15064384c846df11e993f4742f34
28295,"Parental Grief and Memento Mori Photography: Narrative, Meaning, Culture, and Context",145699,Parental Grief and Memento Mori Photography.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",126828,1195,2015-03-23 20:38:16.058648+00:00,filestore/47/11/27/471127ff3d3f22d90268af27e56c7721,471127ff3d3f22d90268af27e56c7721,application/pdf,Parental Grief and Memento Mori Photography.pdf,151571,/attachments/145699/content/Parental%20Grief%20and%20Memento%20Mori%20Photography.pdf,file,document,47/11/27/471127ff3d3f22d90268af27e56c7721
28296,Best practice in bereavement photography after perinatal death: qualitative analysis with 104 parents,145700,Bereavement photography best practice.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",126830,442,2015-03-23 20:43:09.770894+00:00,filestore/30/1f/1e/301f1ea7287db8ccb6d65a9a67f62802,301f1ea7287db8ccb6d65a9a67f62802,application/pdf,Bereavement photography best practice.pdf,266625,/attachments/145700/content/Bereavement%20photography%20best%20practice.pdf,file,document,30/1f/1e/301f1ea7287db8ccb6d65a9a67f62802
28297,The Silent Birth: A Feminist Perspective,145701,Commentary SW.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",126831,473,2015-03-23 20:43:54.548351+00:00,filestore/45/97/d4/4597d46f9f76b089a4d09a12fb07af80,4597d46f9f76b089a4d09a12fb07af80,application/pdf,Commentary SW.pdf,1013034,/attachments/145701/content/Commentary%20SW.pdf,file,document,45/97/d4/4597d46f9f76b089a4d09a12fb07af80
28298,Pharmacological Treatment Following Traumatic Bereavement: A Case Series,145702,Cacciatore & Thieleman.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",126832,344,2015-03-23 20:44:41.360394+00:00,filestore/7d/ef/77/7def775eeaa2b640cefef22af957c87d,7def775eeaa2b640cefef22af957c87d,application/pdf,Cacciatore & Thieleman.pdf,154569,/attachments/145702/content/Cacciatore%20&%20Thieleman.pdf,file,document,7d/ef/77/7def775eeaa2b640cefef22af957c87d
28299,Stillbirth A Sociopolitical Issue,145703,Final version.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",126833,396,2015-03-23 20:45:31.729039+00:00,filestore/58/64/3b/58643b70b20597a3b98d516a1ca00fa4,58643b70b20597a3b98d516a1ca00fa4,application/pdf,Final version.pdf,70698,/attachments/145703/content/Final%20version.pdf,file,document,58/64/3b/58643b70b20597a3b98d516a1ca00fa4
28300,Stillbirth: The Mother's Experience and Implications for Improving Care,145704,Stillbirth in SW improving care.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",126834,996,2015-03-23 20:46:23.781422+00:00,filestore/e3/76/32/e376322a155e065547bb8bab4d5361fe,e376322a155e065547bb8bab4d5361fe,application/pdf,Stillbirth in SW improving care.pdf,162048,/attachments/145704/content/Stillbirth%20in%20SW%20improving%20care.pdf,file,document,e3/76/32/e376322a155e065547bb8bab4d5361fe
28301,Crisis Intervention by Social Workers in Fire Departments:   An Innovative Role for Social Workers,145705,Social Work in Trauma and Crisis Response.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",126835,562,2015-03-23 20:48:17.765202+00:00,filestore/51/8c/1e/518c1e85aa2df63b6644376eee808180,518c1e85aa2df63b6644376eee808180,application/pdf,Social Work in Trauma and Crisis Response.pdf,2090043,/attachments/145705/content/Social%20Work%20in%20Trauma%20and%20Crisis%20Response.pdf,file,document,51/8c/1e/518c1e85aa2df63b6644376eee808180
28302,Stillbirth: Patient-centered Psychosocial Care,145706,Stillbirth Patient centered psychosocial care final Cacciatore 2010.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",126836,730,2015-03-23 20:49:36.861992+00:00,filestore/a7/3f/12/a73f128186954ff9cccb0b3051f226ab,a73f128186954ff9cccb0b3051f226ab,application/pdf,Stillbirth Patient centered psychosocial care final Cacciatore 2010.pdf,120155,/attachments/145706/content/Stillbirth%20Patient%20centered%20psychosocial%20care%20final%20Cacciatore%202010.pdf,file,document,a7/3f/12/a73f128186954ff9cccb0b3051f226ab
