,item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file type,media type,storage path,old item id,image id,document id,video id,audio id,generic file id
0,37834,Patient Education and Medication Adherence,168185,"BSchulte_Chapter1,2,&3_DNP FINAL Project_Spring2016_(3).pdf",,,,,,,,,,,,,1,1,"{'identifier': [], 'description': [], 'type': [], 'language': [], 'subject': [], 'notes': [], 'contributor': [], 'series': [], 'title': [], 'extent': [], 'citation': []}",151444,293,2016-04-27 17:52:33.554210+00:00,filestore/e2/25/ab/e225ab77d13d97ae33c8bb3ca8061de5,e225ab77d13d97ae33c8bb3ca8061de5,application/pdf,"BSchulte_Chapter1,2,&3_DNP FINAL Project_Spring2016_(3).pdf",1769437,"/attachments/168185/content/BSchulte_Chapter1,2,&3_DNP%20FINAL%20Project_Spring2016_(3).pdf",file,document,e2/25/ab/e225ab77d13d97ae33c8bb3ca8061de5,,,151444,,,
1,37775,Decreasing Stigma and Improving Therapeutic Interventions for Psychiatric Patients in the Emergency Department,168186,DecreasingstigmaandimprovingtherapeuticinterventionsforpsychiatricpatientsintheEmergencyDepartment (1).pdf,,,,,,,,,,,,,1,1,"{'identifier': [], 'description': [], 'type': [], 'language': [], 'subject': [], 'notes': [], 'contributor': [], 'series': [], 'title': [], 'extent': [], 'citation': []}",151445,4381,2016-04-27 17:54:07.534723+00:00,filestore/8c/a9/ea/8ca9ea6a18e1f38e0b9251fbe1009161,8ca9ea6a18e1f38e0b9251fbe1009161,application/pdf,DecreasingstigmaandimprovingtherapeuticinterventionsforpsychiatricpatientsintheEmergencyDepartment (1).pdf,2697197,/attachments/168186/content/DecreasingstigmaandimprovingtherapeuticinterventionsforpsychiatricpatientsintheEmergencyDepartment%20(1).pdf,file,document,8c/a9/ea/8ca9ea6a18e1f38e0b9251fbe1009161,,,151445,,,
2,168475,Inspiring Innovative Leadership Behaviors to Improve Emergency Department Nurse Retention,168475,Schlabach - Manuscript Final DNP712.2.pdf,,,,,,,,,,,,,1,1,"{'identifier': [], 'description': [], 'type': [], 'language': [], 'subject': [], 'notes': [], 'contributor': [], 'series': [], 'title': [], 'extent': [], 'citation': []}",151776,369,2016-04-30 5:32:56.862173+00:00,filestore/2a/98/9c/2a989c6c7aa1762a6f1705e38bc8d07e,2a989c6c7aa1762a6f1705e38bc8d07e,application/pdf,Schlabach - Manuscript Final DNP712.2.pdf,275671,/attachments/168475/content/Schlabach%20-%20Manuscript%20Final%20DNP712.2.pdf,file,document,2a/98/9c/2a989c6c7aa1762a6f1705e38bc8d07e,37983,,151776,,,
3,37992,Motivational Interviewing Education for Nurse Practitioners Providing Obesity Management,168496,Motivational Interviewing Education for Nurse Practitioners Providing Obesity Management,,,,,,,,,,,,,1,1,"{'identifier': [], 'description': [], 'type': [], 'language': [], 'subject': [], 'notes': [], 'contributor': [], 'series': [], 'title': [], 'extent': [], 'citation': []}",151799,1221,2016-05-02 15:52:38.510596+00:00,filestore/65/0a/ba/650aba9f20f4679dca3a65648e586cfb,650aba9f20f4679dca3a65648e586cfb,application/pdf,Motivational Interviewing Education for Nurse Practitioners Providing Obesity Management  .pdf,1095433,/attachments/168496/content/Motivational%20Interviewing%20Education%20for%20Nurse%20Practitioners%20Providing%20Obesity%20Management%20%20.pdf,file,document,65/0a/ba/650aba9f20f4679dca3a65648e586cfb,,,151799,,,
4,38023,Utilizing Technology to Affect Influenza Vaccine Coverage Among Children with Chronic Respiratory Conditions,168540,BayS_EBP Final Report.pdf,,,,,,,,,,,,,1,1,"{'identifier': [], 'description': [], 'type': [], 'language': [], 'subject': [], 'notes': [], 'contributor': [], 'series': [], 'title': [], 'extent': [], 'citation': []}",151851,537,2016-05-03 17:19:41.189476+00:00,filestore/b9/7b/51/b97b517429373d82c64281452a7c83eb,b97b517429373d82c64281452a7c83eb,application/pdf,BayS_EBP Final Report.pdf,1192377,/attachments/168540/content/BayS_EBP%20Final%20Report.pdf,file,document,b9/7b/51/b97b517429373d82c64281452a7c83eb,,,151851,,,
5,37877,"Impact of a Brief Prediabetes Education on Physical Activity, Eating Habit and Self-Efficacy in a Rural Primary Care Setting",168543,Yunmi Lee_Final DNP Project Manuscript_2016.pdf,,,,,,,,,,,,,1,1,"{'identifier': [], 'description': [], 'type': [], 'language': [], 'subject': [], 'notes': [], 'contributor': [], 'series': [], 'title': [], 'extent': [], 'citation': []}",151855,1463,2016-05-03 20:53:09.985007+00:00,filestore/13/f1/bd/13f1bd5158d233e11f2f22ce31e45101,13f1bd5158d233e11f2f22ce31e45101,application/pdf,Yunmi Lee_Final DNP Project Manuscript_2016.pdf,787946,/attachments/168543/content/Yunmi%20Lee_Final%20DNP%20Project%20Manuscript_2016.pdf,file,document,13/f1/bd/13f1bd5158d233e11f2f22ce31e45101,,,151855,,,
6,38089,A culturally competent behavioral weight loss program for adult Latinos with a BMI >30kg/m2,168829,Ledesma Final EBP.pdf,,,,,,,,,,,,,1,1,"{'identifier': [], 'description': [], 'type': [], 'language': [], 'subject': [], 'notes': [], 'contributor': [], 'series': [], 'title': [], 'extent': [], 'citation': []}",152171,2407,2016-05-06 13:56:01.801524+00:00,filestore/72/4c/5e/724c5e191943eda3d2075ec7f51bf0ef,724c5e191943eda3d2075ec7f51bf0ef,application/pdf,Ledesma Final EBP.pdf,6998410,/attachments/168829/content/Ledesma%20Final%20EBP.pdf,file,document,72/4c/5e/724c5e191943eda3d2075ec7f51bf0ef,,,152171,,,
7,38100,Pediatric Asthma Guidelines and Provider Educational Sessions,168924,Foote DNP 712 Spring Chapter 1-3.pdf,,,,,,,,,,,,,1,1,"{'identifier': [], 'description': [], 'type': [], 'language': [], 'subject': [], 'notes': [], 'contributor': [], 'series': [], 'title': [], 'extent': [], 'citation': []}",152269,5129,2016-05-06 18:30:35.179805+00:00,filestore/d7/38/4a/d7384a5edf64ab57ed81f6594f61daab,d7384a5edf64ab57ed81f6594f61daab,application/pdf,Foote DNP 712 Spring Chapter 1-3.pdf,673169,/attachments/168924/content/Foote%20DNP%20712%20Spring%20Chapter%201-3.pdf,file,document,d7/38/4a/d7384a5edf64ab57ed81f6594f61daab,,,152269,,,
8,37878,Effects of an Education Presentation for Hospital Providers on Heart Failure and Core Measures,168957,Conway_Final DNP Project Manuscript_2016.pdf,,,,,,,,,,,,,1,1,"{'identifier': [], 'description': [], 'type': [], 'language': [], 'subject': [], 'notes': [], 'contributor': [], 'series': [], 'title': [], 'extent': [], 'citation': []}",152303,963,2016-05-06 20:22:28.245429+00:00,filestore/2b/67/95/2b67957a443023736273c9058dc03657,2b67957a443023736273c9058dc03657,application/pdf,Conway_Final DNP Project Manuscript_2016.pdf,1565730,/attachments/168957/content/Conway_Final%20DNP%20Project%20Manuscript_2016.pdf,file,document,2b/67/95/2b67957a443023736273c9058dc03657,,,152303,,,
9,168959,Health Promotion Education for Overweight and Obesity in Adults with Endocrine Disorders,168959,"Deveau-EBP Report Ch 1, 2, 3-Endocrine Obesity-Repository Ed.-1.pdf",,,,,,,,,,,,,1,1,"{'identifier': [], 'description': [], 'type': [], 'language': [], 'subject': [], 'notes': [], 'contributor': [], 'series': [], 'title': [], 'extent': [], 'citation': []}",152306,244,2016-05-06 21:51:48.802629+00:00,filestore/4d/ab/a1/4daba135b98c078db823ebccdf92bb05,4daba135b98c078db823ebccdf92bb05,application/pdf,"Deveau-EBP Report Ch 1, 2, 3-Endocrine Obesity-Repository Ed.-1.pdf",228428,"/attachments/168959/content/Deveau-EBP%20Report%20Ch%201,%202,%203-Endocrine%20Obesity-Repository%20Ed.-1.pdf",file,document,4d/ab/a1/4daba135b98c078db823ebccdf92bb05,38107,,152306,,,
