,item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file type,media type,storage path,old item id,image id,document id,video id,audio id,generic file id
0,a_208228,Phoenix Resource,a_208228,BjB87_001.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'contributor': [], 'series': [], 'extent': [], 'language': [], 'notes': [], 'type': [], 'subject': [], 'identifier': [], 'citation': [], 'description': []}",202359,2,2018-10-25 21:56:28.689564+00:00,filestore/68/54/9d/68549db6453fe4251a9e6d62fd835ad7,68549db6453fe4251a9e6d62fd835ad7,application/pdf,BjB87_001.pdf,72447753,/attachments/208228/content/BjB87_001.pdf,file,document,68/54/9d/68549db6453fe4251a9e6d62fd835ad7,50760,,202359,,,
1,57511,"The Pride of Phoenix, Vol. 1, Number 9, (September 15, 1977)",a_227736,BjB75_001.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'contributor': [], 'series': [], 'extent': [], 'language': [], 'notes': [], 'type': [], 'subject': [], 'identifier': [], 'citation': [], 'description': []}",225086,0,2020-08-01 19:32:51.506510+00:00,filestore/14/86/8a/14868aabfc7a6faa07d86eb3991778a7,14868aabfc7a6faa07d86eb3991778a7,application/pdf,BjB75_001.pdf,45387410,/attachments/227736/content/BjB75_001.pdf,file,document,14/86/8a/14868aabfc7a6faa07d86eb3991778a7,,,225086,,,
2,57512,"The Pride of Phoenix, Vol. 2, Number 11, (November 3, 1978)",a_227737,BjB75_002.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'contributor': [], 'series': [], 'extent': [], 'language': [], 'notes': [], 'type': [], 'subject': [], 'identifier': [], 'citation': [], 'description': []}",225087,0,2020-08-01 19:33:38.666630+00:00,filestore/20/e2/39/20e23945791ccc5610c10a7c94c46046,20e23945791ccc5610c10a7c94c46046,application/pdf,BjB75_002.pdf,28185981,/attachments/227737/content/BjB75_002.pdf,file,document,20/e2/39/20e23945791ccc5610c10a7c94c46046,,,225087,,,
3,57513,"The Pride of Phoenix, Vol. 2, Number 5, (May 18, 1978)",a_227738,BjB75_003.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'contributor': [], 'series': [], 'extent': [], 'language': [], 'notes': [], 'type': [], 'subject': [], 'identifier': [], 'citation': [], 'description': []}",225088,0,2020-08-01 19:34:47.497951+00:00,filestore/51/3d/63/513d630e659666c3d684d213166b81b7,513d630e659666c3d684d213166b81b7,application/pdf,BjB75_003.pdf,54112999,/attachments/227738/content/BjB75_003.pdf,file,document,51/3d/63/513d630e659666c3d684d213166b81b7,,,225088,,,
4,57514,"The Pride of Phoenix, Vol. 2, Number 4 (April 15, 1978)",a_227739,BjB75_004.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'contributor': [], 'series': [], 'extent': [], 'language': [], 'notes': [], 'type': [], 'subject': [], 'identifier': [], 'citation': [], 'description': []}",225089,0,2020-08-01 19:35:58.715614+00:00,filestore/9a/32/8c/9a328c528f7cadb17bd5cebe33c8c12b,9a328c528f7cadb17bd5cebe33c8c12b,application/pdf,BjB75_004.pdf,40763193,/attachments/227739/content/BjB75_004.pdf,file,document,9a/32/8c/9a328c528f7cadb17bd5cebe33c8c12b,,,225089,,,
5,57515,"The Pride of Phoenix, Vol. 2, Number 1 (circa January 1978)",a_227740,BjB75_005.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'contributor': [], 'series': [], 'extent': [], 'language': [], 'notes': [], 'type': [], 'subject': [], 'identifier': [], 'citation': [], 'description': []}",225090,0,2020-08-01 19:36:57.128043+00:00,filestore/6c/e6/ac/6ce6ac3f0b98a4e2d08ae542fcb2c8c6,6ce6ac3f0b98a4e2d08ae542fcb2c8c6,application/pdf,BjB75_005.pdf,36589325,/attachments/227740/content/BjB75_005.pdf,file,document,6c/e6/ac/6ce6ac3f0b98a4e2d08ae542fcb2c8c6,,,225090,,,
6,57516,"The Pride of Phoenix, Vol. 2, Number 1 (February 1978)",a_227741,BjB75_006.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'contributor': [], 'series': [], 'extent': [], 'language': [], 'notes': [], 'type': [], 'subject': [], 'identifier': [], 'citation': [], 'description': []}",225091,0,2020-08-01 19:37:54.093656+00:00,filestore/d3/e9/bf/d3e9bf47e2a8c61463e9ef5303e672ea,d3e9bf47e2a8c61463e9ef5303e672ea,application/pdf,BjB75_006.pdf,39360753,/attachments/227741/content/BjB75_006.pdf,file,document,d3/e9/bf/d3e9bf47e2a8c61463e9ef5303e672ea,,,225091,,,
7,57517,"The Pride of Phoenix, Vol. 1, Number 12 (December 15th, 1977)",a_227742,BjB75_008.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'contributor': [], 'series': [], 'extent': [], 'language': [], 'notes': [], 'type': [], 'subject': [], 'identifier': [], 'citation': [], 'description': []}",225092,0,2020-08-01 19:38:55.127983+00:00,filestore/fe/ce/4b/fece4b1f0702c58eced4a9aea600ab6d,fece4b1f0702c58eced4a9aea600ab6d,application/pdf,BjB75_008.pdf,42854984,/attachments/227742/content/BjB75_008.pdf,file,document,fe/ce/4b/fece4b1f0702c58eced4a9aea600ab6d,,,225092,,,
8,57518,"The Pride of Phoenix, Vol. 1, Number 8 (August 15th, 1977)",a_227743,BjB75_009.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'contributor': [], 'series': [], 'extent': [], 'language': [], 'notes': [], 'type': [], 'subject': [], 'identifier': [], 'citation': [], 'description': []}",225093,0,2020-08-01 19:40:04.268264+00:00,filestore/84/5c/8d/845c8d362eec74ab323dcb81818975f9,845c8d362eec74ab323dcb81818975f9,application/pdf,BjB75_009.pdf,39839115,/attachments/227743/content/BjB75_009.pdf,file,document,84/5c/8d/845c8d362eec74ab323dcb81818975f9,,,225093,,,
9,57519,"The Pride of Phoenix, Vol. 1, Number 10 (October 15th, 1977)",a_227744,BjB75_010.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'contributor': [], 'series': [], 'extent': [], 'language': [], 'notes': [], 'type': [], 'subject': [], 'identifier': [], 'citation': [], 'description': []}",225094,0,2020-08-01 19:41:13.306634+00:00,filestore/9f/ec/6f/9fec6f0aed48b3faa78ba20db4ff74ae,9fec6f0aed48b3faa78ba20db4ff74ae,application/pdf,BjB75_010.pdf,58200227,/attachments/227744/content/BjB75_010.pdf,file,document,9f/ec/6f/9fec6f0aed48b3faa78ba20db4ff74ae,,,225094,,,
