,item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file checksum.1,file type,media type,old item id,image id,document id,video id,audio id,generic file id
0,9495,Exploring faculty experiences with e-books: a focus group,57096,Exploring faculty experiences with e-books.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",30246,1550,2011-09-07 21:23:53.107308+00:00,filestore/56/9a/4a/569a4ad122224c7833534b3eb54f7686,569a4ad122224c7833534b3eb54f7686,application/pdf,Exploring faculty experiences with e-books.pdf,72204,/attachments/57096/content/Exploring%20faculty%20experiences%20with%20e-books.pdf,569a4ad122224c7833534b3eb54f7686,file,document,,30246,30246,30246,30246,30246
1,9496,"Lights, camera, action! How to produce a library minute",57097,Lights Camera Action,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",30247,1254,2011-09-07 21:36:38.027098+00:00,filestore/20/ae/7f/20ae7f8eea36e2503f98c7766cb0ef9e,20ae7f8eea36e2503f98c7766cb0ef9e,application/pdf,LightsCameraAction.pdf,681984,/attachments/57097/content/LightsCameraAction.pdf,20ae7f8eea36e2503f98c7766cb0ef9e,file,document,,30247,30247,30247,30247,30247
2,60515,The Balance Point: Libraries as Journal Publishers,60515,Libraries_as_journal_publishers.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",33399,1662,2011-10-25 17:11:03.558478+00:00,filestore/cd/d2/56/cdd2568a79ab7def7bd8fba008f6b81a,cdd2568a79ab7def7bd8fba008f6b81a,application/pdf,Libraries_as_journal_publishers.pdf,141201,/attachments/60515/content/Libraries_as_journal_publishers.pdf,cdd2568a79ab7def7bd8fba008f6b81a,file,document,12019,33399,33399,33399,33399,33399
3,135563,Producing and Evaluating The Library Minute,135563,Full Poster,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",114579,454,2014-06-25 18:33:27.644428+00:00,filestore/b8/4f/36/b84f361588b25cf7ed7f523b259f6c3c,b84f361588b25cf7ed7f523b259f6c3c,image/png,FullPoster.png,100417,/attachments/135563/content/FullPoster.png,b84f361588b25cf7ed7f523b259f6c3c,image,image,25316,114579,114579,114579,114579,114579
4,135569,Let's Go! An Open Access Travel Guide,135569,Let's Go! An Open Access Travel Guide,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",114585,343,2014-06-25 20:14:07.607039+00:00,filestore/2b/9e/e7/2b9ee7af24b7d5744223d86f1a62f382,2b9ee7af24b7d5744223d86f1a62f382,application/pdf,Let's Go! OA travel guide.pdf,1178542,/attachments/135569/content/Let's%20Go!%20OA%20travel%20guide.pdf,2b9ee7af24b7d5744223d86f1a62f382,file,document,25317,114585,114585,114585,114585,114585
5,25318,Productivity Toolbox – Tips and Tricks for Getting Things Done,135571,Productivity Toolbox,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",114587,813,2014-06-25 20:32:37.802159+00:00,filestore/eb/1e/fd/eb1efd4cbc1c83eaded7e9fe2b263ea2,eb1efd4cbc1c83eaded7e9fe2b263ea2,application/pdf,Productivity Toolbox.pdf,2133245,/attachments/135571/content/Productivity%20Toolbox.pdf,eb1efd4cbc1c83eaded7e9fe2b263ea2,file,document,,114587,114587,114587,114587,114587
6,161833,Personal Productivity: The Eternal Quest,161833,Personal Productivity - slides,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",144447,1019,2015-11-24 21:09:40.641309+00:00,filestore/c9/bf/67/c9bf6727014e78e5182bfcd6bf210151,c9bf6727014e78e5182bfcd6bf210151,application/pdf,20151119_Personal_Productivity_slides.pdf,3461820,/attachments/161833/content/20151119_Personal_Productivity_slides.pdf,c9bf6727014e78e5182bfcd6bf210151,file,document,35895,144447,144447,144447,144447,144447
7,36167,"The Good, the Bad, and the Ugly: Navigating the Wild West of Open Access Publishing",162690,20150925_WLAMPLA_good_bad_uglyslides.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",145383,769,2015-12-30 21:53:14.339477+00:00,filestore/b9/f7/02/b9f702711599783883e0335374d90e9b,b9f702711599783883e0335374d90e9b,application/pdf,20150925_WLAMPLA_good_bad_uglyslides.pdf,1407706,/attachments/162690/content/20150925_WLAMPLA_good_bad_uglyslides.pdf,b9f702711599783883e0335374d90e9b,file,document,,145383,145383,145383,145383,145383
8,41314,Academic Libraries: Lowering the Cost of Education One Textbook at a Time,178639,Academic Libraries: Lowering the Cost of Education One Textbook at a Time,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",162998,714,2017-02-07 02:50:06.833699+00:00,filestore/a5/ee/5d/a5ee5d06cc0941cbb7ea085b95e4ba68,a5ee5d06cc0941cbb7ea085b95e4ba68,application/pdf,MPLA 2016 - Perry and Chaney.pdf,4314888,/attachments/178639/content/MPLA%202016%20-%20Perry%20and%20Chaney.pdf,a5ee5d06cc0941cbb7ea085b95e4ba68,file,document,,162998,162998,162998,162998,162998
9,41315,A Campaign for Creating Awareness for OER at ASU,178640,A Campaign for Creating Awareness for OER at ASU,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",162999,438,2017-02-07 02:54:00.340044+00:00,filestore/d5/9b/f8/d59bf89b4a0c71a38595acd871dba61f,d59bf89b4a0c71a38595acd871dba61f,application/pdf,OpenEd2016.pdf,1244000,/attachments/178640/content/OpenEd2016.pdf,d59bf89b4a0c71a38595acd871dba61f,file,document,,162999,162999,162999,162999,162999
