id,title,parent,handle,model,collab_ints,description,primary_contact,default_of_perms,default_df_perms,status,created
313,100 Years of Grand: The Grand Canyon Centennial Project,,http://hdl.handle.net/2286/R.C.313,Collection,,"A digital archive celebrating the Centennial of the Grand Canyon National Park. A collaborative project of the Arizona State University Library, Cline Library, Northern Arizona University and the Grand Canyon National Park. Additional materials are available via the [project website](https://lib.asu.edu/grand100).",archives@asu.edu,1,1,1,2018-05-16 18:43:42.392688+00:00
207,"A.T. ""Arch"" Steele Photographs",,http://hdl.handle.net/2286/R.C.207,Collection,,"In 1939, A.T. ""Arch"" Steele, an American  foreign correspondent for the Chicago Daily News, living in China, traveled to the Kumbum Monastery in Northern Tibet to see the 4 year old child from Amdo, who was being examined for signs, as proof of his claim to the throne of Tibet as the fourteenth Dalai Lama. In 1944 Arch was granted a passport to Lhasa to again visit with the now enthroned fourteenth Dalai Lama, who was then nine years old. 

These photographs were taken by Steele in 1939 at the Kumbum Monastery and in 1944 during his travels to Lhasa, and they were subsequently donated to the Center for Asian Studies at Arizona State University in Tempe. Steele wrote the texts presented in the ""Description"" field.",archives@asu.edu,1,1,1,2014-07-30 21:39:43.745381+00:00
257,Arizona PBS Productions Collection,,http://hdl.handle.net/2286/R.C.257,Collection,,Arizona PBS (KAET-TV) locally produced television programs comprised of selected episodes of the Horizon and Horizonte' public affairs programs from 1984-2007. Additional episodes and other local productions will be added as resources become available. Contact Arizona PBS to acquire copies of the video files at azpbs@asu.edu . Materials were digitized with the generous support of the Luhrs Family Endowment.,archives@asu.edu,2,1,1,2016-03-07 19:22:32.986363+00:00
16,Arizona State and Local Government Documents Collection,,http://hdl.handle.net/2286/R.C.16,Collection,,"The *State And Local Arizona Documents* (SALAD) collection contains documents published by the State of Arizona, its [Counties]( http://libguides.asu.edu/content.php?pid=3259&sid=1471869), incorporated [Cities or Towns]( http://libguides.asu.edu/content.php?pid=3259&sid=1471871), or affiliated [Councils of Government]( http://libguides.asu.edu/content.php?pid=3259&sid=1471868); documents produced under the auspices of a state or local agency, board, commission or department, including reports made to these units; and Salt River Project, a licensed municipality. ASU is a primary collector of state publications and makes a concerted effort to acquire and catalog most materials published by state and local governmental agencies.

The ASU Digital Repository provides access to digital SALAD publications, however the ASU Libraries’ non-digitized Arizona documents can be searched through the [ASU Libraries Catalog](https://arizona-asu-primo.hosted.exlibrisgroup.com/). For additional assistance, [Ask A Government Documents Librarian](http://lib.asu.edu/govdocs/govdoc-info).

Publications issued by the Morrison Institute for Public Programs at Arizona State University are available in the ASU Digital Repository [Morrison Institute for Public Policy - Publications Archive](/collections/6) collection.",brad.vogus@asu.edu,1,1,1,2011-12-13 20:27:45.494627+00:00
21,ASU Campus History: West,,http://hdl.handle.net/2286/R.C.21,Collection,,"This collection presents the history of the Arizona State University at West campus through materials selected from the University Archives by Robert Spindler, University Archivist; Bee Gallegos, Education & History Librarian, Fletcher Library; and Todd Anselmo, Digital Initiatives Intern at the West campus.

The collection includes planning reports, memoranda, legislation, speeches, ephemera, fact sheets and a twentieth anniversary video, 1977-2009.",archives@asu.edu,1,1,1,2012-01-11 22:04:22.284328+00:00
140,Bill Baily Motion Picture Films,,http://hdl.handle.net/2286/R.C.140,Collection,,"Amateur motion pictures made by ""Varsity"" Bill Baily of the Arizona State University campus (then Arizona State Teacher's College) and the Varsity Inn in 1937 and 1938. Baily was the owner of the Varsity Inn restaurant on University Drive (then 8th street) from 1929-1944.

The films depict student recreation, campus scenes especially on University Drive and College Avenue, Homecoming parades, and football games at Goodwin Stadium. Boxing and track are also depicted.
 
Two of three existing silent black and white films are presented here. A portion of the R. Kenneth Baily Collection described at Arizona Archives Online and preserved with the support of the Luhrs Family Endowment.",archives@asu.edu,1,1,1,2012-08-28 22:04:09.835141+00:00
195,Carlos Montezuma's Wassaja Newsletter,,http://hdl.handle.net/2286/R.C.195,Collection,,"The Carlos Montezuma collection contains several digitized volumes of the Wassaja newsletter that Yavapai intellectual and activist Carlos Montezuma, MD (1866-1923) self-published during the years 1916-1922. Wassaja means “signaling” or “beckoning,” and is Montezuma’s Yavapai birth name. The newsletter was a vital source of news about Indian affairs in an era that had few outlets for such information and contains valuable reports directly from people living within the Indian reservation system. As a prominent figure in the struggle for Indian rights, who played a role in the founding of the Society of American Indians, Montezuma was an intellectual leader against Indian Bureau mismanagement, notorious for advocating an end to the reservation system and the abolition of the BIA. This collection helps to document different facets of Montezuma’s career as an Indian rights leader and his relationship to his home community of Fort McDowell.",joyce.martin@asu.edu,1,1,1,2014-05-19 21:24:40.951529+00:00
24,Colorado River Central Arizona Project,,http://hdl.handle.net/2286/R.C.24,Collection,,"Reports, correspondence and publications primarily selected from the Senator Carl T. Hayden Papers regarding water allocations, engineering, politics and litigation associated with the Central Arizona Project (CAP) and the Colorado River. A Congressman and then US Senator from Arizona serving from 1912-1970, Hayden influenced natural resource development, water reclamation, and land-use management, culminating in 1968 with approval of funding for the CAP to transport Colorado River water to Phoenix and Tucson. 

The Colorado River Central Arizona Project Collection is part of [the Western Waters Digital Library](http://westernwaters.org ""Western Waters Digital Library"") (WWDL) which contains government reports, classic water literature, legal transcripts, water project records, personal papers, photographic collections, and video materials about the Columbia, Colorado, Platte, and Rio Grande river basins.",archives@asu.edu,1,1,1,2012-02-03 23:27:59.742830+00:00
133,Dr. Peterson Zah and Dr. Peter Iverson Interviews,,http://hdl.handle.net/2286/R.C.133,Collection,,"From 2007 until 2010, Dr. Peterson Zah and Dr. Peter Iverson met in the Labriola National American Indian Data Center to record talks for their new book *We Will Secure Our Future: Empowering the Navajo Nation*. 

The collection contains 18 WAV files of audio recordings, 10 PDF files of transcriptions, and 7 JPEG files of photographs taken by ASU Libraries ICS staff during Dr. Zah and Dr. Iverson's interviews.",joyce.martin@asu.edu,1,1,1,2012-08-09 22:19:42.337024+00:00
324,"Course Catalogs, Graduate, Arizona State University, 1996-2007",,http://hdl.handle.net/2286/R.C.324,Collection,,ASU published separate course catalogs associated with graduate studies from 1959-2007. Some editions were two year compilations. These contain course descriptions as well as degree requirements for masters degrees and doctorates.,rob.spindler@asu.edu,1,1,1,2018-09-07 21:40:28.962295+00:00
