vid,code,name,uri,code_2digit
language,aar,Afar,http://id.loc.gov/vocabulary/languages/aar,
language,abk,Abkhaz,http://id.loc.gov/vocabulary/languages/abk,
language,ace,Achinese,http://id.loc.gov/vocabulary/languages/ace,
language,ach,Acoli,http://id.loc.gov/vocabulary/languages/ach,
language,ada,Adangme,http://id.loc.gov/vocabulary/languages/ada,
language,ady,Adygei,http://id.loc.gov/vocabulary/languages/ady,
language,afa,Afroasiatic (Other),http://id.loc.gov/vocabulary/languages/afa,
language,afh,Afrihili (Artificial language),http://id.loc.gov/vocabulary/languages/afh,
language,afr,Afrikaans,http://id.loc.gov/vocabulary/languages/afr,
language,ain,Ainu,http://id.loc.gov/vocabulary/languages/ain,
language,aka,Akan,http://id.loc.gov/vocabulary/languages/aka,
language,akk,Akkadian,http://id.loc.gov/vocabulary/languages/akk,
language,alb,Albanian,http://id.loc.gov/vocabulary/languages/alb,
language,ale,Aleut,http://id.loc.gov/vocabulary/languages/ale,
language,alg,Algonquian (Other),http://id.loc.gov/vocabulary/languages/alg,
language,alt,Altai,http://id.loc.gov/vocabulary/languages/alt,
language,amh,Amharic,http://id.loc.gov/vocabulary/languages/amh,
language,ang,"English, Old (ca. 450-1100)",http://id.loc.gov/vocabulary/languages/ang,
language,anp,Angika,http://id.loc.gov/vocabulary/languages/anp,
language,apa,Apache languages,http://id.loc.gov/vocabulary/languages/apa,
language,ara,Arabic,http://id.loc.gov/vocabulary/languages/ara,
language,arc,Aramaic,http://id.loc.gov/vocabulary/languages/arc,
language,arg,Aragonese,http://id.loc.gov/vocabulary/languages/arg,
language,arm,Armenian,http://id.loc.gov/vocabulary/languages/arm,
language,arn,Mapuche,http://id.loc.gov/vocabulary/languages/arn,
language,arp,Arapaho,http://id.loc.gov/vocabulary/languages/arp,
language,art,Artificial (Other),http://id.loc.gov/vocabulary/languages/art,
language,arw,Arawak,http://id.loc.gov/vocabulary/languages/arw,
language,asm,Assamese,http://id.loc.gov/vocabulary/languages/asm,
language,ast,Bable,http://id.loc.gov/vocabulary/languages/ast,
language,ath,Athapascan (Other),http://id.loc.gov/vocabulary/languages/ath,
language,aus,Australian languages,http://id.loc.gov/vocabulary/languages/aus,
language,ava,Avaric,http://id.loc.gov/vocabulary/languages/ava,
language,ave,Avestan,http://id.loc.gov/vocabulary/languages/ave,
language,awa,Awadhi,http://id.loc.gov/vocabulary/languages/awa,
